	n_pathways
ENSG00000075945	19
ENSG00000148450	2
ENSG00000084764	5
ENSG00000153246	10
ENSG00000118217	11
ENSG00000130956	4
ENSG00000179918	4
ENSG00000115839	7
ENSG00000099246	13
ENSG00000283100	7
ENSG00000068903	7
ENSG00000153574	9
ENSG00000118985	3
ENSG00000114650	10
ENSG00000100603	42
ENSG00000103241	11
ENSG00000162105	3
ENSG00000107984	8
ENSG00000151657	3
ENSG00000150753	14
ENSG00000106853	7
ENSG00000187848	4
ENSG00000119401	7
ENSG00000010803	26
ENSG00000054598	5
ENSG00000088325	11
ENSG00000157212	18
ENSG00000162482	3
ENSG00000076685	8
ENSG00000141002	4
ENSG00000101004	17
ENSG00000148843	5
ENSG00000100813	8
ENSG00000122012	8
ENSG00000173120	3
ENSG00000141577	17
ENSG00000103995	17
ENSG00000079841	9
ENSG00000206490	2
ENSG00000236149	2
ENSG00000236342	2
ENSG00000231129	2
ENSG00000204574	2
ENSG00000232169	2
ENSG00000225989	2
ENSG00000109107	8
ENSG00000100592	13
ENSG00000114805	3
ENSG00000128607	4
ENSG00000080371	7
ENSG00000065526	6
ENSG00000135108	7
ENSG00000075914	21
ENSG00000125107	12
ENSG00000129654	4
ENSG00000144028	10
ENSG00000004487	35
ENSG00000176692	5
ENSG00000127663	11
ENSG00000077254	9
ENSG00000040199	4
ENSG00000142784	3
ENSG00000154310	4
ENSG00000116852	8
ENSG00000083642	12
ENSG00000187239	11
ENSG00000157106	3
ENSG00000111206	11
ENSG00000149218	4
ENSG00000214655	5
ENSG00000198646	36
ENSG00000157064	4
ENSG00000103351	4
ENSG00000103365	6
ENSG00000062650	12
ENSG00000139718	11
ENSG00000023318	3
ENSG00000002746	4
ENSG00000111647	5
ENSG00000133789	7
ENSG00000150907	27
ENSG00000107077	9
ENSG00000148840	3
ENSG00000104228	4
ENSG00000118689	39
ENSG00000102935	4
ENSG00000145819	14
ENSG00000119685	3
ENSG00000054523	8
ENSG00000155111	12
ENSG00000004139	10
ENSG00000085662	9
ENSG00000113048	7
ENSG00000132359	3
ENSG00000100354	69
ENSG00000112659	3
ENSG00000163531	9
ENSG00000055208	55
ENSG00000143631	6
ENSG00000118322	3
ENSG00000163539	23
ENSG00000198756	3
ENSG00000004399	13
ENSG00000151702	2
ENSG00000172943	8
ENSG00000132510	10
ENSG00000082397	7
ENSG00000198887	5
ENSG00000176915	13
ENSG00000109184	3
ENSG00000014164	2
ENSG00000282684	2
ENSG00000130475	4
ENSG00000120215	4
ENSG00000196924	18
ENSG00000163811	5
ENSG00000125447	10
ENSG00000133030	4
ENSG00000155561	79
ENSG00000010327	3
ENSG00000137815	24
ENSG00000116704	13
ENSG00000136068	5
ENSG00000100304	3
ENSG00000152642	5
ENSG00000165660	4
ENSG00000164024	4
ENSG00000134324	20
ENSG00000143344	8
ENSG00000128591	3
ENSG00000089902	15
ENSG00000107104	8
ENSG00000132589	16
ENSG00000288461	25
ENSG00000273749	25
ENSG00000280618	25
ENSG00000168397	2
ENSG00000089597	24
ENSG00000183580	12
ENSG00000113194	8
ENSG00000068878	3
ENSG00000058063	6
ENSG00000165688	7
ENSG00000103740	5
ENSG00000132718	4
ENSG00000102755	6
ENSG00000070495	7
ENSG00000130749	2
ENSG00000065882	3
ENSG00000160796	3
ENSG00000122025	46
ENSG00000110042	12
ENSG00000008853	6
ENSG00000054654	4
ENSG00000132182	75
ENSG00000131089	17
ENSG00000090554	28
ENSG00000182621	26
ENSG00000198576	6
ENSG00000081913	4
ENSG00000037280	12
ENSG00000206560	13
ENSG00000121892	12
ENSG00000261236	4
ENSG00000163125	3
ENSG00000068650	6
ENSG00000169914	9
ENSG00000189337	3
ENSG00000092108	13
ENSG00000184014	4
ENSG00000085788	5
ENSG00000010932	7
ENSG00000145725	3
ENSG00000126217	17
ENSG00000182473	11
ENSG00000107554	5
ENSG00000174197	4
ENSG00000094963	4
ENSG00000163946	4
ENSG00000186866	4
ENSG00000030066	92
ENSG00000007933	8
ENSG00000177613	14
ENSG00000113645	5
ENSG00000135049	3
ENSG00000106012	4
ENSG00000072803	54
ENSG00000070366	3
ENSG00000102858	4
ENSG00000185963	5
ENSG00000197892	8
ENSG00000024048	4
ENSG00000164398	5
ENSG00000160223	6
ENSG00000127511	15
ENSG00000122176	15
ENSG00000151503	5
ENSG00000119042	11
ENSG00000197818	4
ENSG00000138246	3
ENSG00000134744	7
ENSG00000109654	4
ENSG00000103494	7
ENSG00000013288	3
ENSG00000124422	7
ENSG00000049759	24
ENSG00000074054	36
ENSG00000198198	4
ENSG00000043143	3
ENSG00000166887	7
ENSG00000139641	12
ENSG00000131018	4
ENSG00000088387	8
ENSG00000115414	66
ENSG00000163714	15
ENSG00000127481	12
ENSG00000164828	4
ENSG00000249115	17
ENSG00000162402	4
ENSG00000124006	3
ENSG00000196914	21
ENSG00000155506	7
ENSG00000088808	15
ENSG00000055917	3
ENSG00000104880	16
ENSG00000105662	9
ENSG00000014123	4
ENSG00000132275	4
ENSG00000164151	3
ENSG00000266028	17
ENSG00000198952	3
ENSG00000158467	4
ENSG00000129933	5
ENSG00000162736	41
ENSG00000123066	12
ENSG00000168522	23
ENSG00000101126	5
ENSG00000011376	4
ENSG00000186111	26
ENSG00000121152	5
ENSG00000113593	4
ENSG00000175826	6
ENSG00000159363	3
ENSG00000181274	6
ENSG00000130713	21
ENSG00000100697	11
ENSG00000103187	3
ENSG00000124523	6
ENSG00000089163	8
ENSG00000142082	16
ENSG00000096717	33
ENSG00000148444	6
ENSG00000169946	4
ENSG00000089558	3
ENSG00000135519	3
ENSG00000103150	7
ENSG00000142856	25
ENSG00000166557	11
ENSG00000155974	6
ENSG00000092068	7
ENSG00000281766	6
ENSG00000163602	6
ENSG00000081014	5
ENSG00000143147	4
ENSG00000119729	10
ENSG00000219073	4
ENSG00000112855	4
ENSG00000101892	8
ENSG00000117620	8
ENSG00000070214	11
ENSG00000189091	16
ENSG00000115524	20
ENSG00000135776	3
ENSG00000150967	2
ENSG00000086205	3
ENSG00000154262	8
ENSG00000154265	3
ENSG00000164683	23
ENSG00000116237	8
ENSG00000183741	17
ENSG00000094916	14
ENSG00000067167	3
ENSG00000131375	2
ENSG00000105755	5
ENSG00000103485	4
ENSG00000141867	11
ENSG00000140612	25
ENSG00000136003	15
ENSG00000110195	10
ENSG00000132432	10
ENSG00000100029	4
ENSG00000172828	7
ENSG00000135547	23
ENSG00000240505	4
ENSG00000162882	3
ENSG00000165457	7
ENSG00000112624	4
ENSG00000197147	2
ENSG00000101346	4
ENSG00000095319	79
ENSG00000178691	48
ENSG00000180900	13
ENSG00000274287	13
ENSG00000164808	7
ENSG00000104635	5
ENSG00000039123	12
ENSG00000110203	3
ENSG00000142541	41
ENSG00000281813	3
ENSG00000156650	3
ENSG00000281670	5
ENSG00000099991	5
ENSG00000167978	11
ENSG00000180448	10
ENSG00000175505	5
ENSG00000170345	58
ENSG00000112992	3
ENSG00000141506	29
ENSG00000065457	3
ENSG00000182070	3
ENSG00000100156	7
ENSG00000125740	18
ENSG00000100320	5
ENSG00000277564	5
ENSG00000185344	11
ENSG00000276798	3
ENSG00000277092	3
ENSG00000239961	3
ENSG00000274185	3
ENSG00000106302	7
ENSG00000099282	2
ENSG00000197563	4
ENSG00000143553	4
ENSG00000136877	4
ENSG00000159261	4
ENSG00000135702	5
ENSG00000171517	8
ENSG00000102931	4
ENSG00000280908	2
ENSG00000159339	2
ENSG00000171051	14
ENSG00000153904	3
ENSG00000171049	12
ENSG00000179604	8
ENSG00000105141	6
ENSG00000123415	8
ENSG00000107201	32
ENSG00000288485	3
ENSG00000170291	3
ENSG00000187474	8
ENSG00000148459	4
ENSG00000174106	22
ENSG00000051620	3
ENSG00000091651	19
ENSG00000135336	19
ENSG00000054277	7
ENSG00000123130	4
ENSG00000242110	12
ENSG00000258227	10
ENSG00000035664	4
ENSG00000198087	2
ENSG00000133606	10
ENSG00000101040	6
ENSG00000100092	5
ENSG00000269699	3
ENSG00000169006	7
ENSG00000186318	2
ENSG00000054796	4
ENSG00000171864	3
ENSG00000176076	4
ENSG00000118298	2
ENSG00000025800	4
ENSG00000213024	79
ENSG00000011454	4
ENSG00000154589	44
ENSG00000038358	3
ENSG00000087074	8
ENSG00000105223	9
ENSG00000132254	4
ENSG00000014138	27
ENSG00000137699	4
ENSG00000151012	13
ENSG00000106355	6
ENSG00000103066	5
ENSG00000196652	3
ENSG00000130147	4
ENSG00000104205	3
ENSG00000123892	7
ENSG00000115825	4
ENSG00000152049	4
ENSG00000182985	5
ENSG00000189369	12
ENSG00000139112	2
ENSG00000197417	3
ENSG00000132840	3
ENSG00000100023	7
ENSG00000180957	6
ENSG00000241878	5
ENSG00000185022	2
ENSG00000177663	11
ENSG00000125848	9
ENSG00000185070	5
ENSG00000126500	5
ENSG00000105701	4
ENSG00000100425	9
ENSG00000241484	5
ENSG00000171094	17
ENSG00000108839	13
ENSG00000165060	9
ENSG00000198691	10
ENSG00000012779	29
ENSG00000275565	29
ENSG00000132965	8
ENSG00000090889	19
ENSG00000152778	6
ENSG00000068438	3
ENSG00000100109	4
ENSG00000110218	13
ENSG00000106404	4
ENSG00000101161	10
ENSG00000179477	5
ENSG00000111816	8
ENSG00000186599	5
ENSG00000285411	5
ENSG00000186562	5
ENSG00000285015	5
ENSG00000274729	5
ENSG00000186579	5
ENSG00000284937	5
ENSG00000275794	5
ENSG00000285617	5
ENSG00000187082	5
ENSG00000277530	5
ENSG00000284979	5
ENSG00000186572	5
ENSG00000198129	5
ENSG00000285432	5
ENSG00000184276	5
ENSG00000203970	5
ENSG00000214642	5
ENSG00000177684	5
ENSG00000215547	5
ENSG00000215545	5
ENSG00000180483	5
ENSG00000204548	5
ENSG00000180424	5
ENSG00000180383	5
ENSG00000178591	5
ENSG00000185982	5
ENSG00000232948	5
ENSG00000147614	15
ENSG00000143882	15
ENSG00000161905	21
ENSG00000138767	12
ENSG00000211454	3
ENSG00000176386	47
ENSG00000179520	10
ENSG00000171865	2
ENSG00000174516	21
ENSG00000197272	5
ENSG00000179593	5
ENSG00000198793	45
ENSG00000163295	10
ENSG00000131808	11
ENSG00000162551	3
ENSG00000102384	21
ENSG00000170820	7
ENSG00000116833	21
ENSG00000167996	11
ENSG00000097007	53
ENSG00000163283	4
ENSG00000163286	3
ENSG00000087086	11
ENSG00000104755	3
ENSG00000276286	3
ENSG00000136931	12
ENSG00000179163	9
ENSG00000001036	7
ENSG00000184502	5
ENSG00000089280	11
ENSG00000174951	8
ENSG00000176920	9
ENSG00000292063	10
ENSG00000171124	10
ENSG00000196371	4
ENSG00000130383	4
ENSG00000156413	4
ENSG00000180549	4
ENSG00000154328	8
ENSG00000292286	8
ENSG00000033170	14
ENSG00000205678	5
ENSG00000119537	4
ENSG00000213088	5
ENSG00000164327	32
ENSG00000082074	6
ENSG00000010810	100
ENSG00000151151	3
ENSG00000180340	12
ENSG00000172954	6
ENSG00000175161	4
ENSG00000177842	3
ENSG00000126709	5
ENSG00000172292	4
ENSG00000131482	20
ENSG00000174099	2
ENSG00000180776	8
ENSG00000160211	14
ENSG00000174373	5
ENSG00000174943	6
ENSG00000139160	3
ENSG00000162571	3
ENSG00000137700	9
ENSG00000281500	9
ENSG00000174871	9
ENSG00000133065	3
ENSG00000176454	9
ENSG00000291994	9
ENSG00000167799	4
ENSG00000196419	17
ENSG00000197706	3
ENSG00000205329	3
ENSG00000171298	12
ENSG00000291507	12
ENSG00000198104	3
ENSG00000278659	3
ENSG00000278689	3
ENSG00000292016	3
ENSG00000109458	62
ENSG00000186207	3
ENSG00000186970	2
ENSG00000136939	3
ENSG00000232569	17
ENSG00000206511	17
ENSG00000237051	17
ENSG00000206466	17
ENSG00000204681	17
ENSG00000237112	17
ENSG00000232632	17
ENSG00000185933	4
ENSG00000180089	5
ENSG00000154727	3
ENSG00000168907	10
ENSG00000153898	4
ENSG00000104064	3
ENSG00000182585	30
ENSG00000022355	7
ENSG00000250312	3
ENSG00000137393	4
ENSG00000151834	4
ENSG00000011677	4
ENSG00000146047	140
ENSG00000171502	15
ENSG00000109158	4
ENSG00000255307	3
ENSG00000169174	9
ENSG00000168743	4
ENSG00000213123	4
ENSG00000186297	4
ENSG00000145863	4
ENSG00000205423	6
ENSG00000152520	3
ENSG00000163288	7
ENSG00000121406	3
ENSG00000172752	17
ENSG00000145864	7
ENSG00000161860	4
ENSG00000176547	3
ENSG00000176555	3
ENSG00000166206	7
ENSG00000183828	6
ENSG00000168267	6
ENSG00000184005	21
ENSG00000113327	7
ENSG00000182256	7
ENSG00000280021	3
ENSG00000146276	4
ENSG00000183979	7
ENSG00000164300	3
ENSG00000156150	3
ENSG00000111886	4
ENSG00000174898	3
ENSG00000128683	10
ENSG00000186517	8
ENSG00000172260	3
ENSG00000136750	10
ENSG00000281185	4
ENSG00000198704	4
ENSG00000146414	4
ENSG00000188958	7
ENSG00000157625	49
ENSG00000129946	11
ENSG00000155886	4
ENSG00000100211	4
ENSG00000100242	9
ENSG00000152689	9
ENSG00000118873	7
ENSG00000066248	19
ENSG00000100225	7
ENSG00000186765	4
ENSG00000130313	3
ENSG00000115828	3
ENSG00000164713	3
ENSG00000083812	6
ENSG00000178522	4
ENSG00000178950	5
ENSG00000141424	5
ENSG00000115271	3
ENSG00000198168	3
ENSG00000163431	2
ENSG00000130520	6
ENSG00000095739	5
ENSG00000100271	3
ENSG00000054983	5
ENSG00000100347	10
ENSG00000145779	4
ENSG00000167754	6
ENSG00000151014	2
ENSG00000117308	8
ENSG00000166233	12
ENSG00000135297	3
ENSG00000126432	9
ENSG00000100348	8
ENSG00000135454	5
ENSG00000130540	4
ENSG00000092148	4
ENSG00000182050	14
ENSG00000164190	5
ENSG00000167964	3
ENSG00000103051	11
ENSG00000108479	8
ENSG00000185432	3
ENSG00000111875	5
ENSG00000129055	4
ENSG00000114098	7
ENSG00000174744	8
ENSG00000095397	4
ENSG00000164663	4
ENSG00000105287	4
ENSG00000166573	7
ENSG00000129103	9
ENSG00000130255	41
ENSG00000143158	3
ENSG00000164934	8
ENSG00000141012	13
ENSG00000184857	4
ENSG00000068654	10
ENSG00000142528	8
ENSG00000141429	20
ENSG00000196155	7
ENSG00000143493	3
ENSG00000034677	4
ENSG00000163743	12
ENSG00000106927	3
ENSG00000143641	9
ENSG00000120254	4
ENSG00000182973	12
ENSG00000291502	12
ENSG00000110200	43
ENSG00000153207	20
ENSG00000115339	15
ENSG00000128513	28
ENSG00000178057	4
ENSG00000178038	4
ENSG00000237808	3
ENSG00000223833	3
ENSG00000236315	3
ENSG00000237103	3
ENSG00000225211	3
ENSG00000204475	3
ENSG00000236979	3
ENSG00000206430	3
ENSG00000213930	8
ENSG00000188986	36
ENSG00000156599	8
ENSG00000241822	4
ENSG00000204424	4
ENSG00000243804	4
ENSG00000239741	4
ENSG00000240957	4
ENSG00000243003	4
ENSG00000240008	4
ENSG00000165868	4
ENSG00000198964	4
ENSG00000102452	3
ENSG00000181585	4
ENSG00000170011	7
ENSG00000198795	10
ENSG00000130935	5
ENSG00000038219	4
ENSG00000236398	9
ENSG00000221937	9
ENSG00000221855	9
ENSG00000284982	9
ENSG00000282537	9
ENSG00000255374	9
ENSG00000262612	9
ENSG00000082516	10
ENSG00000263097	9
ENSG00000256436	9
ENSG00000282256	9
ENSG00000278111	9
ENSG00000226761	9
ENSG00000262525	9
ENSG00000274699	9
ENSG00000256188	9
ENSG00000262111	9
ENSG00000278307	6
ENSG00000212124	6
ENSG00000263028	6
ENSG00000273092	9
ENSG00000282612	9
ENSG00000255837	9
ENSG00000212126	9
ENSG00000276167	9
ENSG00000273431	9
ENSG00000130005	7
ENSG00000076201	5
ENSG00000104951	4
ENSG00000117697	18
ENSG00000018408	28
ENSG00000101347	7
ENSG00000134779	3
ENSG00000169375	43
ENSG00000177707	5
ENSG00000161642	16
ENSG00000117614	4
ENSG00000122481	5
ENSG00000127838	4
ENSG00000075826	8
ENSG00000172020	4
ENSG00000166321	3
ENSG00000103978	5
ENSG00000111640	5
ENSG00000178188	8
ENSG00000162396	4
ENSG00000132763	11
ENSG00000089818	6
ENSG00000083937	31
ENSG00000109016	4
ENSG00000263309	6
ENSG00000108244	6
ENSG00000140474	3
ENSG00000181061	8
ENSG00000076043	2
ENSG00000105270	4
ENSG00000002726	8
ENSG00000169221	4
ENSG00000115806	5
ENSG00000168014	4
ENSG00000149476	17
ENSG00000036549	7
ENSG00000185513	6
ENSG00000105058	4
ENSG00000144749	9
ENSG00000151461	8
ENSG00000197324	6
ENSG00000162390	4
ENSG00000126822	9
ENSG00000070882	5
ENSG00000173213	81
ENSG00000138604	5
ENSG00000197555	3
ENSG00000116254	6
ENSG00000184402	19
ENSG00000163960	7
ENSG00000146006	3
ENSG00000291534	8
ENSG00000198862	8
ENSG00000103199	3
ENSG00000198780	5
ENSG00000165300	9
ENSG00000197959	19
ENSG00000158321	5
ENSG00000157500	4
ENSG00000131373	7
ENSG00000274296	7
ENSG00000242612	7
ENSG00000114790	13
ENSG00000277101	13
ENSG00000167759	5
ENSG00000160360	4
ENSG00000100083	6
ENSG00000100997	8
ENSG00000148634	4
ENSG00000143337	6
ENSG00000119599	3
ENSG00000204179	5
ENSG00000160679	5
ENSG00000157954	2
ENSG00000171016	5
ENSG00000109046	7
ENSG00000157978	17
ENSG00000275885	4
ENSG00000105618	4
ENSG00000276421	4
ENSG00000277154	4
ENSG00000277953	4
ENSG00000277707	4
ENSG00000274651	4
ENSG00000274144	4
ENSG00000274894	4
ENSG00000275117	4
ENSG00000119977	4
ENSG00000111790	6
ENSG00000165219	5
ENSG00000100991	4
ENSG00000214021	3
ENSG00000204104	4
ENSG00000119403	3
ENSG00000274349	3
ENSG00000130684	3
ENSG00000066735	14
ENSG00000144452	7
ENSG00000188976	6
ENSG00000138002	7
ENSG00000132554	4
ENSG00000161956	4
ENSG00000106105	5
ENSG00000164880	3
ENSG00000131697	6
ENSG00000262473	4
ENSG00000159131	4
ENSG00000221888	3
ENSG00000172150	3
ENSG00000180447	5
ENSG00000119402	10
ENSG00000134242	5
ENSG00000123505	3
ENSG00000148935	5
ENSG00000183087	19
ENSG00000213215	3
ENSG00000284866	3
ENSG00000124657	3
ENSG00000239590	3
ENSG00000141013	4
ENSG00000005812	12
ENSG00000092621	3
ENSG00000149541	9
ENSG00000102145	8
ENSG00000146426	16
ENSG00000116661	7
ENSG00000118564	12
ENSG00000112234	7
ENSG00000159455	3
ENSG00000179348	9
ENSG00000171180	3
ENSG00000203663	3
ENSG00000171133	3
ENSG00000146021	7
ENSG00000107485	28
ENSG00000178342	7
ENSG00000166523	4
ENSG00000188770	2
ENSG00000104164	4
ENSG00000174989	7
ENSG00000136574	24
ENSG00000285109	24
ENSG00000167196	7
ENSG00000164707	4
ENSG00000147912	7
ENSG00000112146	7
ENSG00000141448	11
ENSG00000116663	10
ENSG00000112029	13
ENSG00000151876	10
ENSG00000198130	7
ENSG00000184056	12
ENSG00000092330	28
ENSG00000284915	28
ENSG00000117215	10
ENSG00000171766	3
ENSG00000189108	3
ENSG00000078579	67
ENSG00000132591	7
ENSG00000156282	4
ENSG00000242247	17
ENSG00000154027	3
ENSG00000262446	9
ENSG00000177628	9
ENSG00000130035	4
ENSG00000105550	6
ENSG00000146729	6
ENSG00000114480	9
ENSG00000117228	18
ENSG00000105679	9
ENSG00000185385	3
ENSG00000205030	3
ENSG00000232382	3
ENSG00000162645	15
ENSG00000231192	3
ENSG00000117226	14
ENSG00000152137	4
ENSG00000163938	4
ENSG00000168505	5
ENSG00000145321	4
ENSG00000105607	3
ENSG00000115263	18
ENSG00000288269	11
ENSG00000215644	11
ENSG00000131979	4
ENSG00000137880	4
ENSG00000106633	18
ENSG00000084734	9
ENSG00000072135	9
ENSG00000135441	5
ENSG00000291903	3
ENSG00000196184	3
ENSG00000108773	45
ENSG00000148200	7
ENSG00000197125	3
ENSG00000197849	3
ENSG00000170683	3
ENSG00000273953	3
ENSG00000281680	3
ENSG00000197309	3
ENSG00000125363	4
ENSG00000187210	4
ENSG00000119899	19
ENSG00000163909	21
ENSG00000102786	3
ENSG00000132286	2
ENSG00000099800	2
ENSG00000134809	4
ENSG00000268221	15
ENSG00000100575	4
ENSG00000150779	2
ENSG00000092847	77
ENSG00000150457	2
ENSG00000136695	5
ENSG00000280236	3
ENSG00000227446	3
ENSG00000204690	3
ENSG00000235966	3
ENSG00000225247	3
ENSG00000233481	3
ENSG00000291958	7
ENSG00000140905	7
ENSG00000230780	3
ENSG00000204694	3
ENSG00000223898	3
ENSG00000206517	3
ENSG00000206472	3
ENSG00000234347	3
ENSG00000237258	3
ENSG00000232289	3
ENSG00000171936	3
ENSG00000169208	3
ENSG00000255582	3
ENSG00000171942	3
ENSG00000186723	3
ENSG00000130283	2
ENSG00000275700	5
ENSG00000276072	5
ENSG00000091844	6
ENSG00000163710	3
ENSG00000134996	3
ENSG00000263761	3
ENSG00000276886	3
ENSG00000166923	3
ENSG00000282046	3
ENSG00000259494	7
ENSG00000284680	3
ENSG00000138379	5
ENSG00000109911	3
ENSG00000203879	4
ENSG00000237521	3
ENSG00000057608	7
ENSG00000127529	3
ENSG00000188269	3
ENSG00000127530	3
ENSG00000142959	3
ENSG00000185352	5
ENSG00000112139	3
ENSG00000174576	7
ENSG00000168621	12
ENSG00000230178	3
ENSG00000276240	3
ENSG00000141194	3
ENSG00000164949	5
ENSG00000234101	3
ENSG00000204704	3
ENSG00000206525	3
ENSG00000227639	3
ENSG00000229328	3
ENSG00000226463	3
ENSG00000228977	3
ENSG00000228652	3
ENSG00000185372	3
ENSG00000175143	3
ENSG00000273508	3
ENSG00000275244	3
ENSG00000292022	3
ENSG00000159461	6
ENSG00000131095	6
ENSG00000226000	3
ENSG00000234746	3
ENSG00000204700	3
ENSG00000231676	3
ENSG00000225550	3
ENSG00000232945	3
ENSG00000196231	3
ENSG00000226347	3
ENSG00000291944	2
ENSG00000127554	2
ENSG00000235132	3
ENSG00000206471	3
ENSG00000232984	3
ENSG00000204688	3
ENSG00000224395	3
ENSG00000206516	3
ENSG00000229125	3
ENSG00000229408	3
ENSG00000162676	2
ENSG00000198380	16
ENSG00000171481	3
ENSG00000173679	3
ENSG00000151892	12
ENSG00000197233	3
ENSG00000168546	10
ENSG00000146013	8
ENSG00000113249	9
ENSG00000115486	10
ENSG00000100031	23
ENSG00000104899	5
ENSG00000086062	29
ENSG00000131067	8
ENSG00000099998	19
ENSG00000178814	9
ENSG00000259384	7
ENSG00000136487	4
ENSG00000135409	3
ENSG00000112964	4
ENSG00000291972	7
ENSG00000118702	7
ENSG00000106128	7
ENSG00000121853	7
ENSG00000134812	12
ENSG00000159224	11
ENSG00000158623	11
ENSG00000010310	7
ENSG00000172915	22
ENSG00000152661	28
ENSG00000267508	3
ENSG00000121542	8
ENSG00000185009	4
ENSG00000070756	28
ENSG00000011243	4
ENSG00000167112	5
ENSG00000055163	21
ENSG00000143322	15
ENSG00000116748	4
ENSG00000121743	5
ENSG00000105821	4
ENSG00000143258	10
ENSG00000070388	44
ENSG00000187513	5
ENSG00000196511	4
ENSG00000164794	3
ENSG00000166681	5
ENSG00000265107	5
ENSG00000156642	4
ENSG00000187140	5
ENSG00000121634	5
ENSG00000119684	4
ENSG00000113971	5
ENSG00000017260	3
ENSG00000151498	5
ENSG00000007952	14
ENSG00000168995	3
ENSG00000213658	17
ENSG00000117597	5
ENSG00000141456	8
ENSG00000197157	4
ENSG00000169562	7
ENSG00000165474	8
ENSG00000148677	4
ENSG00000138777	6
ENSG00000188910	9
ENSG00000070190	4
ENSG00000006715	7
ENSG00000124466	3
ENSG00000108641	4
ENSG00000172167	9
ENSG00000114861	2
ENSG00000109956	4
ENSG00000164405	6
ENSG00000189280	5
ENSG00000136840	21
ENSG00000075461	12
ENSG00000171121	7
ENSG00000054116	10
ENSG00000135801	3
ENSG00000116337	4
ENSG00000198814	4
ENSG00000086232	4
ENSG00000125375	6
ENSG00000105327	14
ENSG00000171408	4
ENSG00000196475	4
ENSG00000104371	8
ENSG00000155011	12
ENSG00000185133	8
ENSG00000072364	10
ENSG00000077935	4
ENSG00000100055	4
ENSG00000229894	4
ENSG00000089006	4
ENSG00000178773	4
ENSG00000140015	3
ENSG00000118407	5
ENSG00000146966	4
ENSG00000164066	3
ENSG00000196453	3
ENSG00000096070	13
ENSG00000188566	2
ENSG00000134216	3
ENSG00000123908	72
ENSG00000138744	3
ENSG00000135423	12
ENSG00000169230	8
ENSG00000102393	8
ENSG00000143570	5
ENSG00000037042	9
ENSG00000136696	5
ENSG00000125571	6
ENSG00000136694	5
ENSG00000129450	5
ENSG00000105366	3
ENSG00000132612	19
ENSG00000124391	4
ENSG00000147257	41
ENSG00000196917	7
ENSG00000165621	6
ENSG00000133805	7
ENSG00000170266	29
ENSG00000134830	9
ENSG00000137822	9
ENSG00000120742	10
ENSG00000077009	4
ENSG00000124713	9
ENSG00000198075	6
ENSG00000173085	6
ENSG00000130762	13
ENSG00000292204	9
ENSG00000068394	9
ENSG00000122507	5
ENSG00000146072	4
ENSG00000130724	33
ENSG00000080546	11
ENSG00000265491	4
ENSG00000169599	3
ENSG00000068912	19
ENSG00000168288	10
ENSG00000150593	6
ENSG00000076321	7
ENSG00000134115	5
ENSG00000175324	3
ENSG00000170860	6
ENSG00000173597	4
ENSG00000151650	8
ENSG00000172602	13
ENSG00000001084	15
ENSG00000086189	4
ENSG00000241258	12
ENSG00000078053	3
ENSG00000023909	15
ENSG00000198131	3
ENSG00000169188	6
ENSG00000163217	6
ENSG00000124217	4
ENSG00000163106	8
ENSG00000178445	4
ENSG00000137502	7
ENSG00000147274	21
ENSG00000180828	8
ENSG00000090905	70
ENSG00000132855	8
ENSG00000119392	4
ENSG00000072133	12
ENSG00000075292	3
ENSG00000173905	4
ENSG00000078589	8
ENSG00000178982	16
ENSG00000282986	16
ENSG00000102241	6
ENSG00000108106	51
ENSG00000110107	15
ENSG00000090863	2
ENSG00000120800	5
ENSG00000189306	5
ENSG00000154710	5
ENSG00000166169	3
ENSG00000135643	7
ENSG00000136816	4
ENSG00000100294	4
ENSG00000111087	6
ENSG00000244509	4
ENSG00000074047	12
ENSG00000106571	12
ENSG00000124767	3
ENSG00000136717	3
ENSG00000112164	11
ENSG00000145888	3
ENSG00000101958	3
ENSG00000115317	5
ENSG00000109738	3
ENSG00000038274	8
ENSG00000122678	3
ENSG00000143924	10
ENSG00000115419	12
ENSG00000186472	3
ENSG00000173221	3
ENSG00000148672	8
ENSG00000182890	6
ENSG00000288118	6
ENSG00000145020	4
ENSG00000135821	7
ENSG00000237763	3
ENSG00000196743	8
ENSG00000112699	6
ENSG00000137198	8
ENSG00000088256	30
ENSG00000146535	7
ENSG00000060558	25
ENSG00000174876	3
ENSG00000127955	34
ENSG00000114353	34
ENSG00000065135	30
ENSG00000141404	16
ENSG00000087258	4
ENSG00000156052	30
ENSG00000087460	35
ENSG00000114349	9
ENSG00000187733	3
ENSG00000134183	7
ENSG00000128266	14
ENSG00000078369	82
ENSG00000172354	71
ENSG00000111664	77
ENSG00000162188	71
ENSG00000168243	71
ENSG00000174021	71
ENSG00000176533	71
ENSG00000243480	7
ENSG00000242616	71
ENSG00000127920	71
ENSG00000127928	75
ENSG00000167083	70
ENSG00000147437	7
ENSG00000125787	7
ENSG00000109163	7
ENSG00000135677	17
ENSG00000281879	4
ENSG00000175164	4
ENSG00000240038	3
ENSG00000136935	4
ENSG00000167110	19
ENSG00000090615	5
ENSG00000144674	8
ENSG00000173230	14
ENSG00000120053	8
ENSG00000125166	10
ENSG00000175793	43
ENSG00000185245	22
ENSG00000203618	17
ENSG00000169347	7
ENSG00000178732	17
ENSG00000169704	17
ENSG00000063660	42
ENSG00000167588	5
ENSG00000115159	7
