	n_pathways
ENSG00000139187	3
ENSG00000134058	61
ENSG00000277273	61
ENSG00000173334	6
ENSG00000180855	3
ENSG00000153283	3
ENSG00000105355	17
ENSG00000135823	5
ENSG00000167186	4
ENSG00000102854	5
ENSG00000068831	15
ENSG00000125944	11
ENSG00000282958	11
ENSG00000136485	6
ENSG00000132964	34
ENSG00000102738	7
ENSG00000197584	7
ENSG00000275163	7
ENSG00000171723	4
ENSG00000136933	4
ENSG00000292215	2
ENSG00000126768	2
ENSG00000132541	3
ENSG00000172336	3
ENSG00000149124	11
ENSG00000136807	39
ENSG00000133226	19
ENSG00000164056	4
ENSG00000136158	14
ENSG00000115145	24
ENSG00000142675	15
ENSG00000125257	9
ENSG00000124762	69
ENSG00000174485	4
ENSG00000143368	16
ENSG00000167797	6
ENSG00000131477	11
ENSG00000132329	7
ENSG00000122679	7
ENSG00000111276	53
ENSG00000070404	8
ENSG00000275993	2
ENSG00000274276	6
ENSG00000160200	6
ENSG00000103266	28
ENSG00000118007	24
ENSG00000173848	13
ENSG00000273707	10
ENSG00000129757	10
ENSG00000147955	5
ENSG00000105829	9
ENSG00000153015	9
ENSG00000150459	16
ENSG00000119953	15
ENSG00000116752	9
ENSG00000171700	6
ENSG00000274513	5
ENSG00000275463	5
ENSG00000277751	5
ENSG00000276146	5
ENSG00000131042	5
ENSG00000147889	57
ENSG00000099995	15
ENSG00000183763	4
ENSG00000069345	8
ENSG00000103507	7
ENSG00000090316	4
ENSG00000130669	19
ENSG00000145495	6
ENSG00000160710	11
ENSG00000147883	19
ENSG00000174446	7
ENSG00000185947	3
ENSG00000152669	4
ENSG00000123080	11
ENSG00000110719	16
ENSG00000133318	8
ENSG00000171596	8
ENSG00000183778	4
ENSG00000145901	4
ENSG00000050555	20
ENSG00000129355	11
ENSG00000185811	10
ENSG00000096006	3
ENSG00000239474	7
ENSG00000083750	19
ENSG00000101307	6
ENSG00000117448	6
ENSG00000118600	5
ENSG00000179913	16
ENSG00000104938	5
ENSG00000174130	22
ENSG00000072952	4
ENSG00000114354	12
ENSG00000186439	6
ENSG00000132274	4
ENSG00000064687	3
ENSG00000154263	3
ENSG00000154258	3
ENSG00000141338	2
ENSG00000116874	4
ENSG00000129596	4
ENSG00000158806	3
ENSG00000064961	10
ENSG00000107745	3
ENSG00000006116	7
ENSG00000166862	8
ENSG00000164442	12
ENSG00000075213	7
ENSG00000123416	91
ENSG00000285048	5
ENSG00000213928	5
ENSG00000162813	4
ENSG00000258947	90
ENSG00000104833	97
ENSG00000188229	99
ENSG00000111801	3
ENSG00000124508	3
ENSG00000196074	4
ENSG00000134255	6
ENSG00000118680	18
ENSG00000106100	40
ENSG00000164162	47
ENSG00000156575	3
ENSG00000288673	10
ENSG00000164741	10
ENSG00000124406	6
ENSG00000104419	6
ENSG00000101335	23
ENSG00000204628	15
ENSG00000197381	5
ENSG00000163624	5
ENSG00000133027	5
ENSG00000131788	13
ENSG00000064225	17
ENSG00000080986	18
ENSG00000101443	3
ENSG00000176788	5
ENSG00000237165	3
ENSG00000237123	3
ENSG00000206460	3
ENSG00000137197	3
ENSG00000204539	3
ENSG00000237114	3
ENSG00000142089	4
ENSG00000079337	12
ENSG00000137693	39
ENSG00000159674	9
ENSG00000262655	9
ENSG00000100462	12
ENSG00000169217	5
ENSG00000130560	4
ENSG00000103502	5
ENSG00000164040	12
ENSG00000177479	4
ENSG00000126216	9
ENSG00000282003	9
ENSG00000138802	25
ENSG00000169442	3
ENSG00000239306	5
ENSG00000120992	8
ENSG00000149798	8
ENSG00000126749	5
ENSG00000216490	9
ENSG00000197223	10
ENSG00000134375	4
ENSG00000187778	15
ENSG00000196937	4
ENSG00000167315	4
ENSG00000165556	4
ENSG00000084072	18
ENSG00000134215	46
ENSG00000130204	7
ENSG00000100324	53
ENSG00000198721	7
ENSG00000136235	4
ENSG00000175866	23
ENSG00000116670	13
ENSG00000013810	6
ENSG00000153208	7
ENSG00000132514	4
ENSG00000171960	11
ENSG00000164597	11
ENSG00000284369	11
ENSG00000134363	4
ENSG00000104980	2
ENSG00000237335	5
ENSG00000204220	5
ENSG00000206283	5
ENSG00000235692	5
ENSG00000224782	5
ENSG00000171148	11
ENSG00000112343	4
ENSG00000167863	8
ENSG00000170035	8
ENSG00000100372	7
ENSG00000198689	8
ENSG00000105388	5
ENSG00000149100	16
ENSG00000162231	8
ENSG00000100934	25
ENSG00000112186	5
ENSG00000131236	12
ENSG00000107175	4
ENSG00000132128	10
ENSG00000100568	4
ENSG00000170275	3
ENSG00000108828	3
ENSG00000198722	8
ENSG00000142453	35
ENSG00000140396	54
ENSG00000245848	15
ENSG00000135622	5
ENSG00000187764	8
ENSG00000172216	23
ENSG00000132382	4
ENSG00000140092	3
ENSG00000171931	10
ENSG00000136425	4
ENSG00000221869	12
ENSG00000121417	3
ENSG00000100201	5
ENSG00000085872	15
ENSG00000172977	52
ENSG00000149428	14
ENSG00000280682	14
ENSG00000133704	3
ENSG00000205339	6
ENSG00000101361	9
ENSG00000092067	2
ENSG00000107959	2
ENSG00000197548	16
ENSG00000110811	3
ENSG00000213886	3
ENSG00000224654	3
ENSG00000231968	3
ENSG00000206513	3
ENSG00000226898	3
ENSG00000228913	3
ENSG00000206468	3
ENSG00000156127	11
ENSG00000108010	2
ENSG00000153879	8
ENSG00000175203	37
ENSG00000134248	19
ENSG00000101000	4
ENSG00000123131	3
ENSG00000144746	4
ENSG00000241685	24
ENSG00000236873	7
ENSG00000228892	7
ENSG00000235758	7
ENSG00000204310	7
ENSG00000206324	7
ENSG00000226467	7
ENSG00000227642	7
ENSG00000169692	14
ENSG00000148688	6
ENSG00000152464	6
ENSG00000090054	4
ENSG00000164414	18
ENSG00000170835	7
ENSG00000117479	4
ENSG00000137965	4
ENSG00000102837	3
ENSG00000156234	8
ENSG00000124198	4
ENSG00000157765	14
ENSG00000164609	7
ENSG00000151640	5
ENSG00000086504	7
ENSG00000135624	16
ENSG00000115484	14
ENSG00000166226	24
ENSG00000119655	7
ENSG00000115523	3
ENSG00000115163	21
ENSG00000095637	2
ENSG00000185201	4
ENSG00000184374	6
ENSG00000130714	21
ENSG00000184470	4
ENSG00000136371	4
ENSG00000175550	5
ENSG00000112667	4
ENSG00000136824	7
ENSG00000274442	10
ENSG00000174231	10
ENSG00000134538	17
ENSG00000145241	21
ENSG00000156256	4
ENSG00000291527	4
ENSG00000163171	8
ENSG00000160999	6
ENSG00000172239	7
