cls	n_pathways	median_log2	fold	frac_positive	p
signalling	259	0.5702206787978279	1.4847506650075881	0.722007722007722	6.029372070386749e-16
immune	157	0.45455061161662924	1.3703558831983143	0.6942675159235668	2.487230901542657e-07
transcription	59	0.37491968022062894	1.2967673571563993	0.6610169491525424	0.00032690502267424904
other	654	0.20177887161086622	1.1501155964246603	0.6039755351681957	3.4754044602185324e-08
cell_cycle	101	0.1551051853678085	1.1135027995792928	0.6138613861386139	0.008871365055482089
protein_metabolism	90	0.040623634365328246	1.02855834590258	0.5555555555555556	0.4457663498222755
metabolic	105	-0.0240656829974256	0.9834572981783745	0.49523809523809526	0.9579331473847305
