molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL5743824,7.12,1,CCOc1cc(-c2ccc(=O)n(C)c2)nc2cc(C(=O)NCCC(N)=C(C)N)ccc12,O=c1ccc(-c2ccc3ccccc3n2)c[nH]1,421.5010000000002,binding,IC50,1,0.0
CHEMBL5743900,6.52,1,NC(=O)c1cccc(-c2nc3ccc(C(=O)NCCCn4ccnc4)cc3nc2-c2ccccc2)c1,O=C(NCCCn1ccnc1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,476.54000000000013,binding,IC50,1,0.0
CHEMBL5744076,6.52,1,O=C(NCCCc1ncc[nH]1)c1ccc2nc(-c3ccc(F)cc3)c(-c3ccccc3F)nc2c1,O=C(NCCCc1ncc[nH]1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,469.4950000000002,binding,IC50,1,0.0
CHEMBL5744084,7.43,2,N#Cc1cccc(CC(=O)N2CCC3(CC2)CC3CNC(=O)c2cc3ccncc3o2)c1,O=C(NCC1CC12CCN(C(=O)Cc1ccccc1)CC2)c1cc2ccncc2o1,428.4920000000001,binding,IC50,2,0.0
CHEMBL5744241,8.89,1,COc1ccc(C(C)=O)cc1S(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,439.4930000000001,binding,IC50,1,0.0
CHEMBL5744488,7.52,1,CCOc1cc(-c2ccc(C)nc2OC)nc2cc(C(=O)NCCCc3[nH]nnc3C)ccc12,O=C(NCCCc1cnn[nH]1)c1ccc2ccc(-c3cccnc3)nc2c1,460.53800000000024,binding,IC50,1,0.0
CHEMBL5744668,8.57,1,CN1CCN(C(=O)C2CCN(S(=O)(=O)c3ccc(CNC(=O)c4ccc5nccn5c4)cc3)CC2)CC1,O=C(NCc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCNCC3)CC2)cc1)c1ccc2nccn2c1,524.6470000000003,binding,IC50,1,0.0
CHEMBL5744911,6.82,1,O=C(NCc1ccc(S(=O)(=O)N2CC3COCC3C2)cc1)c1cnc2[nH]ncc2c1,O=C(NCc1ccc(S(=O)(=O)N2CC3COCC3C2)cc1)c1cnc2[nH]ncc2c1,427.4860000000001,binding,IC50,1,0.0
CHEMBL5744912,8.22,1,Cc1ccccc1N1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cc1,465.57900000000024,binding,IC50,1,0.0
CHEMBL5745066,5.82,1,Cn1ccc(-c2nc3ccc(C(=O)NCCCn4ccnc4)cc3nc2-c2ccccc2)n1,O=C(NCCCn1ccnc1)c1ccc2nc(-c3cc[nH]n3)c(-c3ccccc3)nc2c1,437.5070000000001,binding,IC50,1,0.0
CHEMBL5745670,9.0,1,Cc1cc(C)cc(NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)c1,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,410.4990000000001,binding,IC50,1,0.0
CHEMBL5745809,7.17,1,C=CC1=C(C=N)CN(C(=O)NCC2CC23CCN(C(=O)OCC(C)(C)O)CC3)C1,O=C(NCC1CC12CCNCC2)N1CC=CC1,404.51100000000025,binding,IC50,1,0.0
CHEMBL5745818,6.52,1,Cc1ccc(-c2nc3cc(C(=O)NCCCc4ncc[nH]4)ccc3nc2-c2ccc(F)cc2)cn1,O=C(NCCCc1ncc[nH]1)c1ccc2nc(-c3ccccc3)c(-c3cccnc3)nc2c1,466.5200000000001,binding,IC50,1,0.0
CHEMBL5745914,7.52,1,CCOc1cc(-c2cccnc2OC)nc2cc(C(=O)NCCc3c[nH]nc3C)ccc12,O=C(NCCc1cn[nH]c1)c1ccc2ccc(-c3cccnc3)nc2c1,431.49600000000015,binding,IC50,1,0.0
