gene	mean_ctrl	mean_dis	sd_ctrl	sd_dis	delta	sd_pool	d	cell_type
ITIH4	-13.288407	-13.404449	0.53329945	0.5111878	-0.11604214	0.5223606	-0.22214948	B cell
ITIH1	-13.793614	-13.780222	0.12096863	0.1757947	0.013392448	0.15089266	0.0887548	B cell
AVP	-13.773447	-13.8125305	0.2069709	0.027608491	-0.03908348	0.14764684	-0.2647092	B cell
OXT	-12.541437	-12.822905	0.6636501	0.699737	-0.28146744	0.68193233	-0.4127498	B cell
FGF21	-13.810832	-13.815519	0.046600558	8.610017e-06	-0.0046873093	0.03295157	-0.14224844	B cell
APOA4	-13.815515	-13.814688	3.8341104e-06	0.010523437	0.00082683563	0.007441194	0.11111599	B cell
IL17A	-13.815515	-13.812767	3.8341104e-06	0.034815237	0.0027475357	0.024618091	0.11160637	B cell
IL12B	-13.787241	-13.730304	0.107800886	0.35095522	0.056937218	0.25960603	0.21932162	B cell
PROZ	-13.810638	-13.814344	0.038146332	0.014870441	-0.0037059784	0.028950583	-0.1280105	B cell
SHBG	-13.8109255	-13.797872	0.045672376	0.12720278	0.013053894	0.09556807	0.13659263	B cell
EPO	-13.808978	-13.782522	0.065044	0.15937397	0.02645588	0.121718496	0.21735299	B cell
CCL25	-13.77983	-13.782596	0.109138004	0.12433797	-0.0027656555	0.11698512	-0.023641087	B cell
IL6	-11.951623	-10.973176	0.7604257	1.2073534	0.97844696	1.0089474	0.9697701	B cell
FGFBP1	-13.812276	-13.813624	0.03223093	0.023987284	-0.0013484955	0.028409705	-0.047466017	B cell
TAC3	-13.804678	-13.810063	0.07656608	0.049123213	-0.005385399	0.06432517	-0.08372149	B cell
SEMA3E	-13.740778	-13.731829	0.20655358	0.2420307	0.00894928	0.22499248	0.039775904	B cell
LEP	-13.795193	-13.790991	0.07933026	0.13430655	0.004201889	0.110298544	0.038095597	B cell
TAC4	-13.805274	-13.815519	0.07695396	8.610017e-06	-0.010245323	0.054414667	-0.18828239	B cell
RNLS	-13.182812	-13.335379	0.5178852	0.5508649	-0.15256691	0.5346294	-0.28536946	B cell
PRSS1	-13.699525	-13.700655	0.25937912	0.2917806	-0.0011301041	0.27605566	-0.004093754	B cell
ERVMER34-1	-13.813548	-13.813464	0.019569451	0.025999803	8.392334e-05	0.023010358	0.0036471984	B cell
CFB	-13.800296	-13.810867	0.077953964	0.05885835	-0.01057148	0.06906926	-0.15305622	B cell
