tag,n,spearman,rmse,r2,ef5,ef1,within1log,within2fold,dataset,split,qrasar,n_train_frac
,241,0.788495093277519,0.6195284718792853,0.668676153733942,11.666666666666666,0.0,0.9045643153526971,0.43568464730290457,PA_influenza,random,False,0.8
,241,0.810597096157985,0.6021359236092155,0.6870180945670548,10.0,0.0,0.9336099585062241,0.4730290456431535,PA_influenza,random,True,0.8
,241,0.7049786914151968,0.7306521760129333,0.5391585673887354,11.666666666666666,0.0,0.8464730290456431,0.35684647302904565,PA_influenza,scaffold,False,0.8
,241,0.7022892910134385,0.7298116139735574,0.540218286387941,10.0,0.0,0.8589211618257261,0.35269709543568467,PA_influenza,scaffold,True,0.8
,241,0.32161396602352965,1.0868502317224122,-0.019693283187899757,0.0,0.0,0.7510373443983402,0.2987551867219917,PA_influenza,cluster0.4,False,0.8
,241,0.3708732021038701,1.0971761732187106,-0.03916112007437933,0.0,0.0,0.7676348547717843,0.3029045643153527,PA_influenza,cluster0.4,True,0.8
,37,0.3226418501262012,1.0349862225496709,-1.553758863385358,0.0,0.0,0.6756756756756757,0.13513513513513514,PA_influenza,temporal,False,0.8464730290456431
,37,0.3043813411517672,1.06598944960448,-1.709047141440251,0.0,0.0,0.6486486486486487,0.13513513513513514,PA_influenza,temporal,True,0.8464730290456431
