cell_type,mean_frac_Post,mean_frac_Pre,log2FC_Post_vs_Pre,pval_mannwhitney
Plasma,0.051148083062270235,0.005234878093106902,3.0641809636855792,0.2625417977827179
pDC,0.009887228570927487,0.005016983943252123,0.8555243395468465,0.9602390636458037
CD8 T,0.4113977464842321,0.3392475990204678,0.27745146793860076,0.6729740847387906
NK,0.10782887976866737,0.09014170093282017,0.2558782531397622,0.4234471410941999
Myeloid,0.04203755736384235,0.044236787902407114,-0.07190029377266453,0.6642318548206392
B,0.15285772920560342,0.16696373290958533,-0.12655283601260905,0.9625668449197862
Treg,0.14304856593593945,0.18172784445765713,-0.3431411937230598,0.37038255861785274
CD4 T,0.08179420960851755,0.16743047274070338,-1.0245513985931853,0.02064993829699712
