smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC(Nc1nc(N2CCNCC2)nc2ccccc12)c1c(F)cccc1F,CHEMBL4851921,IC50,2103.0,5.677160727313679,1,369.4190000000001,1,c1ccc(CNc2nc(N3CCNCC3)nc3ccccc23)cc1,MERS_cell_antiviral
Fc1ccc(Nc2ncnc3ccc(NCc4cccc(C(F)(F)F)c4)cc23)cc1Cl,CHEMBL4777165,IC50,2300.0,5.638272163982407,1,446.83500000000004,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
C[C@H](Nc1nc(N2CCNCC2)nc2ccccc12)c1ccccc1,CHEMBL1683848,IC50,2348.0,5.6293019074244235,1,333.4390000000001,1,c1ccc(CNc2nc(N3CCNCC3)nc3ccccc23)cc1,MERS_cell_antiviral
CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,CHEMBL5441417,EC50,2420.0,5.616184634019569,1,370.4780000000002,1,O=S1(=O)CCCc2ccc(CNc3ncnc4[nH]ccc34)cc21,MERS_cell_antiviral
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,CHEMBL1764,EC50,2500.0,5.6020599913279625,1,328.481,1,c1ccc2c(c1)Nc1ccccc1S2,MERS_cell_antiviral
O=C(NCc1cccs1)[C@@H]1CN(C(=O)CCl)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5206532,EC50,2640.0,5.578396073130169,1,446.78700000000015,1,O=C(NCc1cccs1)C1CNCCN1c1ccccc1,MERS_cell_antiviral
O=[N+]([O-])c1ccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1,CHEMBL4779153,IC50,2700.0,5.568636235841013,1,423.8350000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,CHEMBL1200383,IC50,2783.0,5.555486793665957,1,307.43700000000007,1,c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,MERS_cell_antiviral
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,CHEMBL3084665,IC50,2815.0,5.550521600812635,1,343.4170000000001,1,c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,MERS_cell_antiviral
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,CHEMBL217092,EC50,2900.0,5.5376020021010435,7,542.0360000000002,5,c1cc(Nc2ncnc3cc(OCCN4CCNCC4)cc(OC4CCOCC4)c23)c2c(c1)OCO2,MERS_cell_antiviral
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,EC50,3000.0,5.522878745280337,1,319.88000000000005,1,c1ccc2ncccc2c1,MERS_cell_antiviral
CC(Nc1nc(N2CCNCC2)nc2ccc(F)cc12)c1ccccc1,CHEMBL4862613,IC50,3079.0,5.511590311096802,1,351.42900000000003,1,c1ccc(CNc2nc(N3CCNCC3)nc3ccccc23)cc1,MERS_cell_antiviral
O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2ccc(O)cc12,CHEMBL4799331,IC50,3100.0,5.508638306165727,1,289.24100000000004,1,O=c1[nH]c(Nc2ccccc2)nc2ccccc12,MERS_cell_antiviral
Nc1ncnn2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)ccc12,CHEMBL5273609,EC50,16160.0,5.494850021680094,2,265.273,1,c1ncc2ccc(C3CCCN3)n2n1,MERS_cell_antiviral
O=[N+]([O-])c1ccc(CNc2ccc3ncnc(Nc4ccc(C(F)(F)F)cc4)c3c2)cc1,CHEMBL4781505,IC50,3300.0,5.481486060122113,1,439.3970000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
O=[N+]([O-])c1ccccc1CNc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL4779561,IC50,3300.0,5.481486060122113,1,423.8350000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,CHEMBL1711280,EC50,3400.0,5.468521082957745,1,295.451,1,C=C1c2ccccc2CSc2ccccc21,MERS_cell_antiviral
N#Cc1cccc(CNc2ccc3ncnc(Nc4ccc(C(F)(F)F)cc4)c3c2)c1,CHEMBL4762931,IC50,3600.0,5.443697499232712,1,419.4100000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
Oc1ccccc1CNc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL4763374,IC50,3600.0,5.443697499232712,1,394.83700000000005,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
O=[N+]([O-])c1cccc(CNc2ccc3ncnc(Nc4ccc(C(F)(F)F)cc4)c3c2)c1,CHEMBL4761869,IC50,3700.0,5.431798275933005,1,439.3970000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
COc1ccccc1CNc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL4778734,IC50,3800.0,5.42021640338319,1,408.8640000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
O=c1ccn([C@@H]2S[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CHEMBL6190340,EC50,4040.0,5.393618634889395,1,260.27099999999996,1,O=c1ccn(C2CCCS2)c(=O)[nH]1,MERS_cell_antiviral
N#Cc1ccc(CNc2ccc3ncnc(Nc4ccc(C(F)(F)F)cc4)c3c2)cc1,CHEMBL4779802,IC50,4100.0,5.3872161432802645,1,419.4100000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5395225,EC50,4200.0,5.376750709602099,1,492.61700000000025,1,O=C1NCCC1CCNC(=O)C1NCC2CCCC21,MERS_cell_antiviral
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5438782,EC50,4560.0,5.341035157335565,1,452.5520000000002,1,O=C1NCCC1CCNC(=O)C1CCCN1,MERS_cell_antiviral
Fc1ccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1,CHEMBL4752901,IC50,4600.0,5.337242168318426,1,396.82800000000015,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
Fc1ccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1F,CHEMBL4759350,IC50,4600.0,5.337242168318426,1,414.81800000000015,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccncc2)cc1,CHEMBL472620,IC50,4630.0,5.334419008982047,1,365.43700000000007,1,O=C(Nc1ccc(Oc2ccncc2)cc1)Nc1ccn[nH]1,MERS_cell_antiviral
N#Cc1ccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1,CHEMBL4787535,IC50,4800.0,5.318758762624412,1,403.8480000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CHEMBL841,EC50,4800.0,5.318758762624412,1,477.0480000000002,1,c1ccc(C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,MERS_cell_antiviral
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL71,EC50,4900.0,5.309803919971486,1,318.8730000000001,1,c1ccc2c(c1)Nc1ccccc1S2,MERS_cell_antiviral
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL5416410,EC50,5400.0,5.267606240177032,5,488.01700000000034,4,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,MERS_cell_antiviral
COc1cccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)c1,CHEMBL4741552,IC50,5600.0,5.251811972993799,1,408.8640000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NCc1cccc(C#N)c1,CHEMBL4762362,IC50,5800.0,5.236572006437063,1,433.8740000000002,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CC(=O)c1c(NCc2ccc(F)cc2F)[nH]c2c(F)cc(F)cc2c1=O,CHEMBL4548966,IC50,5900.0,5.229147988357856,1,364.29800000000006,1,O=c1cc(NCc2ccccc2)[nH]c2ccccc12,MERS_cell_antiviral
O=[N+]([O-])c1cccc(CNc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)c1,CHEMBL4757944,IC50,6100.0,5.214670164989233,1,423.8350000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
COc1cccc(CNc2ccc3ncnc(Nc4ccc(Br)cc4)c3c2)c1,CHEMBL4787576,IC50,7400.0,5.130768280269024,1,435.3250000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
CC(=O)c1c(OCc2ccc(Cl)c(Cl)c2)[nH]c2c(F)cc(F)cc2c1=O,CHEMBL4453755,IC50,7800.0,5.107905397309519,1,398.1920000000001,1,O=c1cc(OCc2ccccc2)[nH]c2ccccc12,MERS_cell_antiviral
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,CHEMBL729,EC50,8000.0,5.096910013008056,1,628.8139999999999,1,O=C(COc1ccccc1)NC(CCC(Cc1ccccc1)NC(=O)CN1CCCNC1=O)Cc1ccccc1,MERS_cell_antiviral
