smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C(=O)COC(=O)c3c(C)nn(C)c3C)cc12,CHEMBL5195086,IC50,71.5,7.145693958198919,1,622.7230000000001,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NC(CC1CCCNC1=O)C(=O)COC(=O)c1cn[nH]c1,SARS_Mpro_train
CNC(=O)c1cc(Br)cc([N+](=O)[O-])c1N[C@@H]1CCCC[C@@H]1NC(=O)c1cccc2ccccc12,CHEMBL5278228,IC50,72.0,7.142667503568731,1,525.4030000000002,1,O=C(NC1CCCCC1Nc1ccccc1)c1cccc2ccccc12,SARS_Mpro_train
CNC(=O)c1cc(Br)cc([N+](=O)[O-])c1N[C@@H]1CCCC[C@@H]1NC(=O)c1cncc2ccccc12,CHEMBL5404334,IC50,72.0,7.142667503568731,3,526.3910000000003,3,O=C(NC1CCCCC1Nc1ccccc1)c1cncc2ccccc12,SARS_Mpro_train
O=C(Sc1nc2ccccc2s1)c1ccc(-c2ccccc2)s1,CHEMBL5178568,IC50/Ki,83.5,7.1399203482970215,2,353.49300000000005,1,O=C(Sc1nc2ccccc2s1)c1ccc(-c2ccccc2)s1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)c1cc2cccc(C(F)(F)F)c2[nH]1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,CHEMBL5791218,Ki,73.0,7.136677139879544,1,477.48700000000025,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NCCC1CCNC1=O,SARS_Mpro_train
CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)N(C(=O)COc3ccccc3)C[C@@H]21,CHEMBL5564834,IC50,76.5,7.135985522789741,2,427.50100000000015,1,O=C1NCCC1CCNC(=O)C1C2CC2CN1C(=O)COc1ccccc1,SARS_Mpro_train
COc1c(O)ccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)cc12,CHEMBL5747310,Ki,74.0,7.130768280269024,1,455.5150000000002,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NCCC1CCNC1=O,SARS_Mpro_train
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)cc12,CHEMBL5431050,IC50,74.0,7.130768280269024,1,456.54300000000023,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NCCC1CCNC1=O,SARS_Mpro_train
CCNC(=O)C(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C)C2(C)C,CHEMBL5203431,IC50,75.0,7.1249387366083,1,576.7390000000001,1,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
CC1(C)CNC(=O)[C@@H]2C[C@H](C[C@@H](C#N)NC(=O)[C@@H]3[C@@H]4[C@H](CN3C(=O)[C@H]1NC(=O)C(F)(F)F)C4(C)C)C(=O)N2,CHEMBL6101937,IC50,75.0,7.1249387366083,1,540.5430000000002,1,O=C1NC2CC1CCNC(=O)C1C3CC3CN1C(=O)CCCNC2=O,SARS_Mpro_train
