held_out,compound,method,n_sources,repro_r,source_repro_r,reproducible,source_reproducible,transfer_efficiency,pearson_delta,mae,top50_overlap,sign_match
A-172,(R)-Verapamil (hydrochloride),weighted_consensus_gated,49,0.539798378944397,0.31032914704434117,True,True,1.1775734586941222,0.6356522440910339,0.13356047868728638,0.2,0.96
A-172,(R)-Verapamil (hydrochloride),weighted_consensus,49,0.539798378944397,0.31032914704434117,True,True,1.2514646687382969,0.6755385994911194,0.11493232101202011,0.4,0.96
A-172,(R)-Verapamil (hydrochloride),unweighted_consensus,49,0.539798378944397,0.31032914704434117,True,True,1.2326161614979338,0.6653642058372498,0.11338625103235245,0.38,0.98
A-172,(R)-Verapamil (hydrochloride),generic_response,49,0.539798378944397,0.31032914704434117,True,True,0.7650905213754735,0.4129946231842041,0.145187646150589,0.16,0.86
A-172,(R)-Verapamil (hydrochloride),shuffled_compound,49,0.539798378944397,0.31032914704434117,True,True,0.17972645935200568,0.09701605141162872,0.3949499726295471,0.06,0.64
A-172,(R)-Verapamil (hydrochloride),no_change,49,0.539798378944397,0.31032914704434117,True,True,0.0,0.0,0.15229347348213196,0.06,0.0
A-172,(S)-Crizotinib,weighted_consensus_gated,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.4797971844673157,0.14085692167282104,0.08,0.8
A-172,(S)-Crizotinib,weighted_consensus,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.5037147402763367,0.13747815787792206,0.12,0.8
A-172,(S)-Crizotinib,unweighted_consensus,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.5459170937538147,0.12760770320892334,0.14,0.82
A-172,(S)-Crizotinib,generic_response,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.2994876801967621,0.15733571350574493,0.08,0.62
A-172,(S)-Crizotinib,shuffled_compound,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.14857850968837738,0.24236783385276794,0.08,0.48
A-172,(S)-Crizotinib,no_change,49,-0.05308765545487404,-0.09034009345729525,False,False,,0.0,0.1548679769039154,0.02,0.0
A-172,18β-Glycyrrhetinic acid,weighted_consensus_gated,49,0.5252206325531006,0.2821990114883805,True,False,1.1675531733800588,0.6132230162620544,0.16407406330108643,0.08,0.9
A-172,18β-Glycyrrhetinic acid,weighted_consensus,49,0.5252206325531006,0.2821990114883805,True,False,1.2502990328811336,0.6566828489303589,0.14877261221408844,0.2,0.9
A-172,18β-Glycyrrhetinic acid,unweighted_consensus,49,0.5252206325531006,0.2821990114883805,True,False,1.2270964644894198,0.6444963812828064,0.1425064355134964,0.18,0.88
A-172,18β-Glycyrrhetinic acid,generic_response,49,0.5252206325531006,0.2821990114883805,True,False,0.8218935760701065,0.4316754639148712,0.17103050649166107,0.08,0.66
A-172,18β-Glycyrrhetinic acid,shuffled_compound,49,0.5252206325531006,0.2821990114883805,True,False,0.3457476048998268,0.18159377574920654,0.3074919283390045,0.06,0.58
A-172,18β-Glycyrrhetinic acid,no_change,49,0.5252206325531006,0.2821990114883805,True,False,0.0,0.0,0.1853744238615036,0.06,0.0
A-172,4EGI-1,weighted_consensus_gated,49,0.5171471834182739,0.31063647680364703,True,True,1.251301535564164,0.6471070647239685,0.1905001848936081,0.16,0.92
A-172,4EGI-1,weighted_consensus,49,0.5171471834182739,0.31063647680364703,True,True,1.3142170213305457,0.6796436309814453,0.16058363020420074,0.24,0.92
A-172,4EGI-1,unweighted_consensus,49,0.5171471834182739,0.31063647680364703,True,True,1.2841870200281458,0.6641137003898621,0.16115522384643555,0.14,0.92
A-172,4EGI-1,generic_response,49,0.5171471834182739,0.31063647680364703,True,True,0.6649928713770518,0.3438991904258728,0.20590698719024658,0.02,0.78
