cell_line,drug,conc,shard,key,extracted
A549,Rifaximin,0.05,9,A549	Rifaximin	0.05,True
A549,Sivelestat (sodium tetrahydrate),0.05,10,A549	Sivelestat (sodium tetrahydrate)	0.05,True
A549,Altretamine,0.5,10,A549	Altretamine	0.5,True
A549,Betamethasone dipropionate,0.5,10,A549	Betamethasone dipropionate	0.5,True
A549,Fenofibrate,0.5,10,A549	Fenofibrate	0.5,True
A549,Mozavaptan,0.5,11,A549	Mozavaptan	0.5,True
A549,Nevirapine,0.5,11,A549	Nevirapine	0.5,True
A549,Pemetrexed,0.5,11,A549	Pemetrexed	0.5,True
A549,Pitavastatin (Calcium),0.5,11,A549	Pitavastatin (Calcium)	0.5,True
A549,Pravastatin (sodium),0.5,11,A549	Pravastatin (sodium)	0.5,True
A549,Rifaximin,0.5,11,A549	Rifaximin	0.5,True
A549,Sivelestat (sodium tetrahydrate),0.5,11,A549	Sivelestat (sodium tetrahydrate)	0.5,True
A549,Altretamine,5.0,11,A549	Altretamine	5.0,True
A549,Betamethasone dipropionate,5.0,11,A549	Betamethasone dipropionate	5.0,True
A549,Fenofibrate,5.0,12,A549	Fenofibrate	5.0,True
A549,Mozavaptan,5.0,12,A549	Mozavaptan	5.0,True
A549,Nevirapine,5.0,12,A549	Nevirapine	5.0,True
A549,Pemetrexed,5.0,12,A549	Pemetrexed	5.0,True
A549,Pitavastatin (Calcium),5.0,12,A549	Pitavastatin (Calcium)	5.0,True
A549,Pravastatin (sodium),5.0,12,A549	Pravastatin (sodium)	5.0,True
A549,Rifaximin,5.0,12,A549	Rifaximin	5.0,True
A549,Sivelestat (sodium tetrahydrate),5.0,12,A549	Sivelestat (sodium tetrahydrate)	5.0,True
A549,Aprepitant,0.05,13,A549	Aprepitant	0.05,True
A549,Benztropine (mesylate),0.05,13,A549	Benztropine (mesylate)	0.05,True
A549,Econazole,0.05,13,A549	Econazole	0.05,True
A549,Estrone sulfate (potassium),0.05,13,A549	Estrone sulfate (potassium)	0.05,True
A549,Fulvestrant,0.05,13,A549	Fulvestrant	0.05,True
A549,Idoxuridine,0.05,13,A549	Idoxuridine	0.05,True
A549,Loperamide (hydrochloride),0.05,14,A549	Loperamide (hydrochloride)	0.05,True
A549,Lopinavir,0.05,14,A549	Lopinavir	0.05,True
A549,Neratinib,0.05,14,A549	Neratinib	0.05,True
A549,Osimertinib (mesylate),0.05,14,A549	Osimertinib (mesylate)	0.05,True
A549,Pentoxifylline,0.05,14,A549	Pentoxifylline	0.05,True
A549,Talc,0.05,14,A549	Talc	0.05,True
A549,Tirabrutinib (hydrochloride),0.05,14,A549	Tirabrutinib (hydrochloride)	0.05,True
A549,Aprepitant,0.5,14,A549	Aprepitant	0.5,True
A549,Benztropine (mesylate),0.5,14,A549	Benztropine (mesylate)	0.5,True
A549,Econazole,0.5,15,A549	Econazole	0.5,True
A549,Estrone sulfate (potassium),0.5,15,A549	Estrone sulfate (potassium)	0.5,True
A549,Fulvestrant,0.5,15,A549	Fulvestrant	0.5,True
A549,Idoxuridine,0.5,15,A549	Idoxuridine	0.5,True
A549,Loperamide (hydrochloride),0.5,15,A549	Loperamide (hydrochloride)	0.5,True
A549,Lopinavir,0.5,15,A549	Lopinavir	0.5,True
A549,Neratinib,0.5,15,A549	Neratinib	0.5,True
A549,Osimertinib (mesylate),0.5,15,A549	Osimertinib (mesylate)	0.5,True
A549,Pentoxifylline,0.5,15,A549	Pentoxifylline	0.5,True
A549,Talc,0.5,15,A549	Talc	0.5,True
A549,Tirabrutinib (hydrochloride),0.5,15,A549	Tirabrutinib (hydrochloride)	0.5,True
A549,Aprepitant,5.0,16,A549	Aprepitant	5.0,True
A549,Benztropine (mesylate),5.0,16,A549	Benztropine (mesylate)	5.0,True
A549,Econazole,5.0,16,A549	Econazole	5.0,True
A549,Estrone sulfate (potassium),5.0,16,A549	Estrone sulfate (potassium)	5.0,True
A549,Fulvestrant,5.0,16,A549	Fulvestrant	5.0,True
A549,Idoxuridine,5.0,16,A549	Idoxuridine	5.0,True
A549,Loperamide (hydrochloride),5.0,17,A549	Loperamide (hydrochloride)	5.0,True
A549,Lopinavir,5.0,17,A549	Lopinavir	5.0,True
A549,Neratinib,5.0,17,A549	Neratinib	5.0,True
