sciplex_compound,reference_set,nn_tanimoto
Ramelteon,MERS_细胞抗病毒,0.1633
Celecoxib,MERS_细胞抗病毒,0.169
Avagacestat (BMS-708163),MERS_细胞抗病毒,0.1717
PD173074,MERS_细胞抗病毒,0.191
Altretamine,MERS_细胞抗病毒,0.1154
Amisulpride,MERS_细胞抗病毒,0.2105
Carmofur,MERS_细胞抗病毒,0.209
Epothilone A,MERS_细胞抗病毒,0.1573
Mercaptopurine (6-MP),MERS_细胞抗病毒,0.1346
Streptozotocin (STZ),MERS_细胞抗病毒,0.2586
Ki16425,MERS_细胞抗病毒,0.1765
Costunolide,MERS_细胞抗病毒,0.1228
Ellagic acid,MERS_细胞抗病毒,0.1698
Glesatinib(MGCD265),MERS_细胞抗病毒,0.2174
Rigosertib (ON-01910),MERS_细胞抗病毒,0.1852
Ki8751,MERS_细胞抗病毒,0.2817
"Patupilone (EPO906, Epothilone B)",MERS_细胞抗病毒,0.129
Ruxolitinib (INCB018424),MERS_细胞抗病毒,0.2439
Pelitinib (EKB-569),MERS_细胞抗病毒,0.3646
Pirarubicin,MERS_细胞抗病毒,0.1789
Resveratrol,MERS_细胞抗病毒,0.1633
Droxinostat,MERS_细胞抗病毒,0.2167
Zileuton,MERS_细胞抗病毒,0.1692
Aurora A Inhibitor I,MERS_细胞抗病毒,0.3646
PHA-680632,MERS_细胞抗病毒,0.2551
Ofloxacin,MERS_细胞抗病毒,0.2048
MC1568,MERS_细胞抗病毒,0.191
Pracinostat (SB939),MERS_细胞抗病毒,0.2278
Hesperadin,MERS_细胞抗病毒,0.2525
Selisistat (EX 527),MERS_细胞抗病毒,0.2131
Fasudil (HA-1077) HCl,MERS_细胞抗病毒,0.2254
Tie2 kinase inhibitor,MERS_细胞抗病毒,0.1928
Prednisone ,MERS_细胞抗病毒,0.1412
Alendronate sodium trihydrate,MERS_细胞抗病毒,0.1013
Triamcinolone Acetonide,MERS_细胞抗病毒,0.1512
Aminoglutethimide ,MERS_细胞抗病毒,0.1628
Disulfiram ,MERS_细胞抗病毒,0.1154
Meprednisone,MERS_细胞抗病毒,0.1316
Busulfan ,MERS_细胞抗病毒,0.1061
Divalproex Sodium,MERS_细胞抗病毒,0.127
Mesna ,MERS_细胞抗病毒,0.1014
Thiotepa,MERS_细胞抗病毒,0.0625
Toremifene Citrate,MERS_细胞抗病毒,0.2419
Azacitidine ,MERS_细胞抗病毒,0.5625
AICAR (Acadesine),MERS_细胞抗病毒,0.434
Lomustine ,MERS_细胞抗病毒,0.1528
Cimetidine ,MERS_细胞抗病毒,0.1134
Curcumin,MERS_细胞抗病毒,0.1548
Cyclocytidine HCl,MERS_细胞抗病毒,0.434
Maraviroc,MERS_细胞抗病毒,0.25
PCI-34051,MERS_细胞抗病毒,0.2344
PF-573228,MERS_细胞抗病毒,0.2857
BMS-265246,MERS_细胞抗病毒,0.2162
ENMD-2076 L-(+)-Tartaric acid ,MERS_细胞抗病毒,0.2667
KW-2449,MERS_细胞抗病毒,0.2903
AZD1480,MERS_细胞抗病毒,0.2051
Givinostat (ITF2357),MERS_细胞抗病毒,0.2877
AG-14361,MERS_细胞抗病毒,0.2152
Gandotinib (LY2784544),MERS_细胞抗病毒,0.1947
SGI-1776 free base,MERS_细胞抗病毒,0.2079
AZ 960,MERS_细胞抗病毒,0.3014
Momelotinib (CYT387),MERS_细胞抗病毒,0.3793
AR-42,MERS_细胞抗病毒,0.2203
Quercetin,MERS_细胞抗病毒,0.1587
Daphnetin,MERS_细胞抗病毒,0.1698
Tubastatin A HCl,MERS_细胞抗病毒,0.2584
MK-0752,MERS_细胞抗病毒,0.2338
PF-3845,MERS_细胞抗病毒,0.2637
Trametinib (GSK1120212),MERS_细胞抗病毒,0.2174
Flavopiridol HCl,MERS_细胞抗病毒,0.1758
NVP-BSK805 2HCl,MERS_细胞抗病毒,0.2111
TG101209,MERS_细胞抗病毒,0.2812
Resminostat,MERS_细胞抗病毒,0.2159
TAK-901,MERS_细胞抗病毒,0.2243
AMG-900,MERS_细胞抗病毒,0.2065
"Fedratinib (SAR302503, TG101348)",MERS_细胞抗病毒,0.2549
GSK1070916,MERS_细胞抗病毒,0.2476
CUDC-907,MERS_细胞抗病毒,0.2105
MK-5108 (VX-689),MERS_细胞抗病毒,0.219
M344,MERS_细胞抗病毒,0.1875
WP1066,MERS_细胞抗病毒,0.2432
Sirtinol,MERS_细胞抗病毒,0.2394
CEP-33779,MERS_细胞抗病毒,0.2347
Tacedinaline (CI994),MERS_细胞抗病毒,0.2545
RG108,MERS_细胞抗病毒,0.2787
"Baricitinib (LY3009104, INCB028050)",MERS_细胞抗病毒,0.2353
WHI-P154,MERS_细胞抗病毒,0.4127
PJ34,MERS_细胞抗病毒,0.2667
S-Ruxolitinib (INCB018424),MERS_细胞抗病毒,0.2439
IOX2,MERS_细胞抗病毒,0.2222
Clevudine ,MERS_细胞抗病毒,0.3448
Entacapone,MERS_细胞抗病毒,0.2152
Sodium Phenylbutyrate,MERS_细胞抗病毒,0.209
Tranylcypromine (2-PCPA) HCl,MERS_细胞抗病毒,0.2368
Tofacitinib (CP-690550) Citrate,MERS_细胞抗病毒,0.2471
(+)-JQ1,MERS_细胞抗病毒,0.1818
Tazemetostat (EPZ-6438),MERS_细胞抗病毒,0.2162
BMS-911543,MERS_细胞抗病毒,0.1712
UNC1999,MERS_细胞抗病毒,0.2
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),MERS_细胞抗病毒,0.2564
G007-LK,MERS_细胞抗病毒,0.1753
FLLL32,MERS_细胞抗病毒,0.169
UNC0379,MERS_细胞抗病毒,0.2838
A-366,MERS_细胞抗病毒,0.1892
GSK-LSD1 2HCl,MERS_细胞抗病毒,0.2083
GSK J1,MERS_细胞抗病毒,0.2366
Anacardic Acid,MERS_细胞抗病毒,0.1739
BRD4770,MERS_细胞抗病毒,0.2366
Filgotinib (GLPG0634),MERS_细胞抗病毒,0.2826
UNC0631,MERS_细胞抗病毒,0.2526
"Cerdulatinib (PRT062070, PRT2070)",MERS_细胞抗病毒,0.3158
SRT2104 (GSK2245840),MERS_细胞抗病毒,0.3077
Ivosidenib (AG-120),MERS_细胞抗病毒,0.1825
ITSA-1 (ITSA1),MERS_细胞抗病毒,0.2414
SRT3025 HCl,MERS_细胞抗病毒,0.2642
EED226,MERS_细胞抗病毒,0.1605
TMP195,MERS_细胞抗病毒,0.1647
Tucidinostat (Chidamide),MERS_细胞抗病毒,0.2903
