held_out,compound,method,n_sources,repro_r,source_repro_r,reproducible,source_reproducible,transfer_efficiency,pearson_delta,mae,top50_overlap,sign_match
A549,(+)-JQ1,weighted_consensus_gated,2,0.45450843639718413,0.41413151490330813,True,True,0.7710305583407286,0.35043989348589244,0.20380911211206437,0.0,0.64
A549,(+)-JQ1,weighted_consensus,2,0.45450843639718413,0.41413151490330813,True,True,0.754050224141639,0.3427221883395626,0.24679825307861394,0.08,0.64
A549,(+)-JQ1,unweighted_consensus,2,0.45450843639718413,0.41413151490330813,True,True,0.6390734233998772,0.2904642624124738,0.26690908076557984,0.04,0.68
A549,(+)-JQ1,no_change,2,0.45450843639718413,0.41413151490330813,True,True,0.0,0.0,0.22028385433404074,0.0,0.0
A549,2-Methoxyestradiol (2-MeOE2),weighted_consensus_gated,2,0.4304356580096621,0.1486700467706798,True,False,-0.024998802157796752,-0.010760375856244606,0.19923741307604942,0.0,0.5
A549,2-Methoxyestradiol (2-MeOE2),weighted_consensus,2,0.4304356580096621,0.1486700467706798,True,False,0.011365748240482556,0.004892223322664268,0.23394661222311644,0.04,0.5
A549,2-Methoxyestradiol (2-MeOE2),unweighted_consensus,2,0.4304356580096621,0.1486700467706798,True,False,0.018857876556395828,0.00811710250421722,0.2528433001040654,0.02,0.56
A549,2-Methoxyestradiol (2-MeOE2),no_change,2,0.4304356580096621,0.1486700467706798,True,False,0.0,0.0,0.196109931715873,0.0,0.0
A549,A-366,weighted_consensus_gated,2,0.17302376686195894,0.15979491254748332,False,False,-0.0047189020196692615,-0.0008164822028956815,0.23105171736434937,0.02,0.52
A549,A-366,weighted_consensus,2,0.17302376686195894,0.15979491254748332,False,False,-0.008405096138814771,-0.0014542813947746383,0.2553849548846783,0.02,0.52
A549,A-366,unweighted_consensus,2,0.17302376686195894,0.15979491254748332,False,False,-0.01744914074179645,-0.003019116059650098,0.26820511421221277,0.02,0.54
A549,A-366,no_change,2,0.17302376686195894,0.15979491254748332,False,False,0.0,0.0,0.22903731584342943,0.0,0.0
A549,ABT-737,weighted_consensus_gated,2,0.16971978259094422,0.13663101335012387,False,False,0.27111143392336934,0.046012973623393384,0.2615375507059257,0.0,0.44
A549,ABT-737,weighted_consensus,2,0.16971978259094422,0.13663101335012387,False,False,0.2114709951735658,0.0358908113251482,0.2816344133887364,0.02,0.44
A549,ABT-737,unweighted_consensus,2,0.16971978259094422,0.13663101335012387,False,False,0.15943824215079164,0.027059823794514676,0.2939565003501477,0.02,0.42
A549,ABT-737,no_change,2,0.16971978259094422,0.13663101335012387,False,False,0.0,0.0,0.26134194963634494,0.0,0.0
A549,AC480 (BMS-599626),weighted_consensus_gated,2,0.11310732668667259,0.17379461615516917,False,False,-0.38462182376514364,-0.04350354627142791,0.2350690414960534,0.0,0.4
A549,AC480 (BMS-599626),weighted_consensus,2,0.11310732668667259,0.17379461615516917,False,False,-0.3409886569785371,-0.03856831542132113,0.265889823812731,0.0,0.4
A549,AC480 (BMS-599626),unweighted_consensus,2,0.11310732668667259,0.17379461615516917,False,False,-0.2713593337073483,-0.03069272880711485,0.27936258771046524,0.0,0.4
A549,AC480 (BMS-599626),no_change,2,0.11310732668667259,0.17379461615516917,False,False,0.0,0.0,0.2309752047737466,0.0,0.0
A549,AG-14361,weighted_consensus_gated,2,0.17440581450158552,0.15140635611021738,False,False,-0.13049269115168866,-0.0227586840868141,0.24058967643773194,0.0,0.48
A549,AG-14361,weighted_consensus,2,0.17440581450158552,0.15140635611021738,False,False,-0.1464279817332341,-0.025537891420007976,0.2638220157593131,0.0,0.48
A549,AG-14361,unweighted_consensus,2,0.17440581450158552,0.15140635611021738,False,False,-0.02692125777140154,-0.004695223889028425,0.27513478206895914,0.0,0.54
A549,AG-14361,no_change,2,0.17440581450158552,0.15140635611021738,False,False,0.0,0.0,0.2389560071776475,0.0,0.0
A549,AG-490 (Tyrphostin B42),weighted_consensus_gated,2,0.1663849727023316,0.16579484486082807,False,False,-0.02164350855081233,-0.00360115457940959,0.2537440729632569,0.0,0.46
A549,AG-490 (Tyrphostin B42),weighted_consensus,2,0.1663849727023316,0.16579484486082807,False,False,-0.0732961557927891,-0.012195378880769058,0.2723993454773004,0.0,0.46
A549,AG-490 (Tyrphostin B42),unweighted_consensus,2,0.1663849727023316,0.16579484486082807,False,False,-0.038399643053460934,-0.006389123561229375,0.2822091766849159,0.0,0.46
A549,AG-490 (Tyrphostin B42),no_change,2,0.1663849727023316,0.16579484486082807,False,False,0.0,0.0,0.25375430207371646,0.0,0.0
A549,AICAR (Acadesine),weighted_consensus_gated,2,0.14468310868772835,0.11937881449989164,False,False,0.07560086704912204,0.010938168464154626,0.22350663089877193,0.0,0.48
A549,AICAR (Acadesine),weighted_consensus,2,0.14468310868772835,0.11937881449989164,False,False,0.12023178656478815,0.017395508643273,0.24292757042259086,0.0,0.48
A549,AICAR (Acadesine),unweighted_consensus,2,0.14468310868772835,0.11937881449989164,False,False,0.09379149586025046,0.01357004518953324,0.25663265703360183,0.02,0.48
A549,AICAR (Acadesine),no_change,2,0.14468310868772835,0.11937881449989164,False,False,0.0,0.0,0.22204239421227565,0.0,0.0
A549,AMG-900,weighted_consensus_gated,2,0.22006303413668307,0.24666028009307295,False,False,0.7148389791249088,0.1573096346653965,0.2505658370901402,0.0,0.66
A549,AMG-900,weighted_consensus,2,0.22006303413668307,0.24666028009307295,False,False,0.6722903468592616,0.1479462535506522,0.26181090863057355,0.02,0.66
A549,AMG-900,unweighted_consensus,2,0.22006303413668307,0.24666028009307295,False,False,0.44025992597816077,0.09688493511954556,0.2749371421588305,0.02,0.62
A549,AMG-900,no_change,2,0.22006303413668307,0.24666028009307295,False,False,0.0,0.0,0.2547798574943433,0.0,0.0
A549,AR-42,weighted_consensus_gated,2,0.5186426136726812,0.4986424760077645,True,True,0.8759045513172447,0.4542814258229729,0.37925369690260097,0.22,1.0
A549,AR-42,weighted_consensus,2,0.5186426136726812,0.4986424760077645,True,True,0.9925962365395934,0.5148027064405616,0.369841934527711,0.6,1.0
A549,AR-42,unweighted_consensus,2,0.5186426136726812,0.4986424760077645,True,True,0.9123904092703027,0.47320454655383704,0.3848641256438346,0.54,0.96
A549,AR-42,no_change,2,0.5186426136726812,0.4986424760077645,True,True,0.0,0.0,0.410790301162222,0.02,0.0
A549,AT9283,weighted_consensus_gated,2,0.535478350157917,0.2386237083562497,True,False,0.3566385018887032,0.19097219659415396,0.23649381908452657,0.02,0.76
A549,AT9283,weighted_consensus,2,0.535478350157917,0.2386237083562497,True,False,0.3971274658717019,0.2126531602273734,0.25984322086812345,0.12,0.76
A549,AT9283,unweighted_consensus,2,0.535478350157917,0.2386237083562497,True,False,0.3035761363681905,0.16255844864975347,0.27773322183960025,0.08,0.78
A549,AT9283,no_change,2,0.535478350157917,0.2386237083562497,True,False,0.0,0.0,0.23966627837693966,0.0,0.0
A549,AZ 960,weighted_consensus_gated,2,0.17570342217735826,0.198089749870614,False,False,-0.29503849940821025,-0.051839274020095034,0.25683075892588947,0.02,0.4
A549,AZ 960,weighted_consensus,2,0.17570342217735826,0.198089749870614,False,False,-0.2619538652717908,-0.046026190580840294,0.28962525497268843,0.02,0.4
A549,AZ 960,unweighted_consensus,2,0.17570342217735826,0.198089749870614,False,False,-0.2579336138295496,-0.045319818644425046,0.30526475905795325,0.02,0.44
A549,AZ 960,no_change,2,0.17570342217735826,0.198089749870614,False,False,0.0,0.0,0.2525254984846743,0.0,0.0
A549,AZD1480,weighted_consensus_gated,2,0.1403324453621309,0.20803250622385372,False,False,-0.14608027294657402,-0.02049980192176027,0.2523412320462746,0.0,0.46
A549,AZD1480,weighted_consensus,2,0.1403324453621309,0.20803250622385372,False,False,-0.10818821911842037,-0.015182317348261974,0.28254972282055735,0.0,0.46
A549,AZD1480,unweighted_consensus,2,0.1403324453621309,0.20803250622385372,False,False,-0.08479103841712957,-0.011898933765870177,0.2944684638741295,0.02,0.46
A549,AZD1480,no_change,2,0.1403324453621309,0.20803250622385372,False,False,0.0,0.0,0.24982989569225195,0.0,0.0
A549,Abexinostat (PCI-24781),weighted_consensus_gated,2,0.7429308828606531,0.5853839276749844,True,True,0.7147038457713362,0.5309755591228028,0.2821741046557376,0.1,0.94
A549,Abexinostat (PCI-24781),weighted_consensus,2,0.7429308828606531,0.5853839276749844,True,True,0.806945009313604,0.5995043681893538,0.30412138090475893,0.42,0.94
A549,Abexinostat (PCI-24781),unweighted_consensus,2,0.7429308828606531,0.5853839276749844,True,True,0.7648893866944665,0.5682599473476635,0.3177933814251039,0.42,0.96
A549,Abexinostat (PCI-24781),no_change,2,0.7429308828606531,0.5853839276749844,True,True,0.0,0.0,0.3240650548794622,0.0,0.0
A549,Alendronate sodium trihydrate,weighted_consensus_gated,2,0.17834533544710587,0.1609249293605,False,False,0.12702087587679342,0.022653580717031923,0.26082634086547396,0.0,0.62
A549,Alendronate sodium trihydrate,weighted_consensus,2,0.17834533544710587,0.1609249293605,False,False,0.15785699696999053,0.028153059077285734,0.28373706879777316,0.0,0.62
A549,Alendronate sodium trihydrate,unweighted_consensus,2,0.17834533544710587,0.1609249293605,False,False,0.22181012599468708,0.03955880132608729,0.28846149568876805,0.0,0.62
A549,Alendronate sodium trihydrate,no_change,2,0.17834533544710587,0.1609249293605,False,False,0.0,0.0,0.2597300137446886,0.0,0.0
A549,Alisertib (MLN8237),weighted_consensus_gated,2,0.5656660094516174,0.2397162047875898,True,False,0.5344997730020653,0.3023483536468736,0.2349297315153453,0.02,0.9
A549,Alisertib (MLN8237),weighted_consensus,2,0.5656660094516174,0.2397162047875898,True,False,0.4843095810232891,0.2739574680366287,0.24800546280398722,0.0,0.9
A549,Alisertib (MLN8237),unweighted_consensus,2,0.5656660094516174,0.2397162047875898,True,False,0.3466876828949851,0.19610943810923395,0.26576020727148936,0.0,0.9
A549,Alisertib (MLN8237),no_change,2,0.5656660094516174,0.2397162047875898,True,False,0.0,0.0,0.24241939007629873,0.0,0.0
