cell_type,compound,split_half_r
A549,Ruxolitinib (INCB018424),0.332275438004849
A549,S-Ruxolitinib (INCB018424),0.23230149705695283
A549,S3I-201,0.20983088271369096
A549,SB431542,0.15260664181626976
A549,SGI-1776 free base,0.1813269926570132
A549,SL-327,0.12065328405673509
A549,SNS-314,0.18904227926242773
A549,SRT1720 HCl,0.19364947689456147
A549,SRT2104 (GSK2245840),0.4542680639740786
A549,SRT3025 HCl,0.4333988731927718
A549,Selisistat (EX 527),0.32466065869731275
A549,Sirtinol,0.1775863438700637
A549,Sodium Phenylbutyrate,0.19171001064333465
A549,Sorafenib Tosylate,0.1209097355014979
A549,Streptozotocin (STZ),0.19197870067009418
A549,TAK-901,0.21965744947301546
A549,TG101209,0.14083901101667137
A549,TGX-221,0.14340783935536458
A549,TMP195,0.4268448458765155
A549,Tacedinaline (CI994),0.15866916149948268
A549,Tanespimycin (17-AAG),0.2327514291999644
A549,Tazemetostat (EPZ-6438),0.5025663622279761
A549,"Temsirolimus (CCI-779, NSC 683864)",0.12925556932969293
A549,Thalidomide,0.136022203528674
A549,Thiotepa,0.16466271407691815
A549,Tie2 kinase inhibitor,0.24662604953379413
A549,Tofacitinib (CP-690550) Citrate,0.20232264694965763
A549,Toremifene Citrate,0.1676728281863159
A549,"Tozasertib (VX-680, MK-0457)",0.5388423097015866
A549,Trametinib (GSK1120212),0.30485160479327095
A549,Tranylcypromine (2-PCPA) HCl,0.2006360644335437
A549,Triamcinolone Acetonide,0.46102081210343265
A549,Trichostatin A (TSA),0.07847055598334796
A549,Tubastatin A HCl,0.19452401804639846
A549,Tucidinostat (Chidamide),0.36317676555251927
A549,UNC0379,0.2611433897311898
A549,UNC0631,0.20158685634257786
A549,UNC1999,0.36778080584506956
A549,Valproic acid sodium salt (Sodium valproate),0.1659942476071672
A549,Vandetanib (ZD6474),0.13443608116611994
A549,Veliparib (ABT-888),0.20948745398985666
A549,WHI-P154,0.19448170282903712
A549,WP1066,0.21955043488423043
A549,XAV-939,0.18346230331499774
A549,ZM 447439,0.49216480337280377
A549,Zileuton,0.17322928836723261
K562,(+)-JQ1,0.18748869720140277
K562,2-Methoxyestradiol (2-MeOE2),0.11253557005765269
K562,A-366,0.14868411991680058
K562,ABT-737,0.1220778180436065
K562,AC480 (BMS-599626),0.09903392170321987
K562,AG-14361,0.12447532131512379
K562,AG-490 (Tyrphostin B42),0.17047127329437295
K562,AICAR (Acadesine),0.10881287109502888
K562,AMG-900,0.17956074265457275
K562,AR-42,0.3155853796111504
K562,AT9283,0.22291657006000856
K562,AZ 960,0.11585909973114028
K562,AZD1480,0.12310112200120261
K562,Abexinostat (PCI-24781),0.36956122894413
K562,Alendronate sodium trihydrate,0.11679533131861541
K562,Alisertib (MLN8237),0.1542240368261822
K562,Altretamine,0.12062270202164027
K562,Alvespimycin (17-DMAG) HCl,0.21313105759912432
K562,Aminoglutethimide ,0.14666877634965597
K562,Amisulpride,0.15522965674965022
K562,Anacardic Acid,0.12940141592218135
K562,Andarine,0.13276004069750436
K562,Aurora A Inhibitor I,0.13170095724244668
K562,Avagacestat (BMS-708163),0.12729129185970264
K562,Azacitidine ,0.18160960732577247
K562,BMS-265246,0.17885978482093334
K562,BMS-536924,0.1494038629753729
K562,BMS-754807,0.13147606328980083
K562,BMS-911543,0.11276912217280657
K562,BRD4770,0.10904091671146221
K562,Barasertib (AZD1152-HQPA),0.20062413479700097
K562,"Baricitinib (LY3009104, INCB028050)",0.11789130502828807
K562,Belinostat (PXD101),0.23187294240051742
K562,Bosutinib (SKI-606),0.2329326801233712
K562,Busulfan ,0.17984725613047464
K562,CEP-33779,0.10490886394938849
K562,CUDC-101,0.17584637173225878
K562,CUDC-907,0.3968026592291341
K562,CYC116,0.16515256636524955
K562,Capecitabine ,0.16665249341681077
K562,Carmofur,0.1413569376020709
K562,Cediranib (AZD2171),0.13427619641568186
K562,Celecoxib,0.10088759532732294
K562,"Cerdulatinib (PRT062070, PRT2070)",0.14578587799612416
K562,Cimetidine ,0.11375463119142694
K562,Clevudine ,0.14052206273715254
K562,Costunolide,0.149355067807469
K562,Crizotinib (PF-02341066),0.13662615204720158
K562,Curcumin,0.1398687975148841
K562,Cyclocytidine HCl,0.28213165789803046
K562,Dacinostat (LAQ824),0.4929121147811143
K562,Danusertib (PHA-739358),0.25255805838352674
K562,Daphnetin,0.11109738635544306
K562,Dasatinib,0.29526401162520133
K562,Decitabine,0.15247120828368949
K562,Disulfiram ,0.15933013346425828
K562,Divalproex Sodium,0.1330011741216082
K562,Droxinostat,0.11682112332315231
K562,EED226,0.13990990661422925
K562,ENMD-2076,0.14413098213416461
K562,ENMD-2076 L-(+)-Tartaric acid ,0.13369141953247607
K562,Ellagic acid,0.11248393428496428
K562,Entacapone,0.11674327844130736
K562,Entinostat (MS-275),0.3648894886749396
K562,Enzastaurin (LY317615),0.12746513063916365
K562,Epothilone A,0.11895572635200521
K562,FLLL32,0.10782332719267212
K562,Fasudil (HA-1077) HCl,0.13251632153078893
K562,"Fedratinib (SAR302503, TG101348)",0.09701317136226784
K562,Filgotinib (GLPG0634),0.08737736074687445
K562,"Fluorouracil (5-Fluoracil, 5-FU)",0.15586744356882487
K562,Fulvestrant,0.13883133872930586
K562,G007-LK,0.12519425070428086
K562,GSK J1,0.13227083189388653
K562,GSK-LSD1 2HCl,0.1972389246777961
K562,GSK1070916,0.14323937879047183
K562,Gandotinib (LY2784544),0.10299304984499194
K562,Givinostat (ITF2357),0.27505263168692173
K562,Glesatinib?(MGCD265),0.1141464220164938
K562,Hesperadin,0.2406655017095971
K562,INO-1001 (3-Aminobenzamide),0.1303976738470266
K562,IOX2,0.11446048512616942
K562,ITSA-1 (ITSA1),0.13480766936255278
K562,Iniparib (BSI-201),0.12989459188362157
K562,Ivosidenib (AG-120),0.1301878786466203
K562,JNJ-26854165 (Serdemetan),0.1327225326335142
K562,JNJ-7706621,0.11986287159382217
K562,KW-2449,0.12294468951816848
K562,Ki16425,0.11565270792750984
K562,Ki8751,0.12103524533095789
K562,Lapatinib (GW-572016) Ditosylate,0.13866972228618876
K562,Lenalidomide (CC-5013),0.1324249650715424
K562,Linifanib (ABT-869),0.12982755599339274
K562,Lomustine ,0.12218060715224074
K562,"Luminespib (AUY-922, NVP-AUY922)",0.2667810522796119
K562,M344,0.2236216381877922
K562,MC1568,0.10881119051791475
K562,MK-0752,0.14300304624093346
K562,MK-5108 (VX-689),0.11795850857411858
K562,MLN8054,0.1566495425355128
K562,Maraviroc,0.12939189888674604
K562,Meprednisone,0.1523010719155289
K562,Mercaptopurine (6-MP),0.14153162660188529
K562,Mesna ,0.1287492632312923
K562,Mocetinostat (MGCD0103),0.2895134166331337
K562,Momelotinib (CYT387),0.12413810641752791
K562,Motesanib Diphosphate (AMG-706),0.12754681862945536
K562,NVP-BSK805 2HCl,0.11003272721360191
K562,Navitoclax (ABT-263),0.13054617811409935
K562,Nilotinib (AMN-107),0.21548516526372408
K562,Nintedanib (BIBF 1120),0.13376839938745375
K562,Obatoclax Mesylate (GX15-070),0.11283174112911701
K562,Ofloxacin,0.1431284885423261
K562,PCI-34051,0.1090098474024146
K562,PD173074,0.13898214265119369
K562,PD98059,0.08992976383568041
K562,PF-3845,0.12560291189335512
K562,PF-573228,0.13152100538600014
K562,PFI-1 (PF-6405761),0.15074589425301785
K562,PHA-680632,0.17495770037046687
K562,PJ34,0.14346067091214096
K562,Panobinostat (LBH589),0.43688684143832884
K562,"Patupilone (EPO906, Epothilone B)",0.11945465596306776
K562,Pelitinib (EKB-569),0.11738741878358694
K562,Pirarubicin,0.17025331564387902
K562,Pracinostat (SB939),0.33034747764477423
K562,Prednisone ,0.13837692388672237
K562,Quercetin,0.11886089935144536
K562,Quisinostat (JNJ-26481585) 2HCl,0.5109573237855379
K562,RG108,0.1346987376680302
