cell_line,drug,conc,shard,key,extracted
A549,Encorafenib,5.0,3,A549	Encorafenib	5.0,True
A549,Erdafitinib ,5.0,3,A549	Erdafitinib 	5.0,True
A549,Everolimus,5.0,3,A549	Everolimus	5.0,True
A549,Futibatinib,5.0,3,A549	Futibatinib	5.0,True
A549,GSK1059615,5.0,3,A549	GSK1059615	5.0,True
A549,Gemcitabine,5.0,3,A549	Gemcitabine	5.0,True
A549,HI-TOPK-032,5.0,3,A549	HI-TOPK-032	5.0,True
A549,Hydroxyfasudil,5.0,3,A549	Hydroxyfasudil	5.0,True
A549,IQ 1,5.0,3,A549	IQ 1	5.0,True
A549,Infigratinib,5.0,3,A549	Infigratinib	5.0,True
A549,Ipatasertib,5.0,3,A549	Ipatasertib	5.0,True
A549,Irinotecan,5.0,3,A549	Irinotecan	5.0,True
A549,Ixazomib,5.0,3,A549	Ixazomib	5.0,True
A549,LB-100,5.0,3,A549	LB-100	5.0,True
A549,LJI308,5.0,3,A549	LJI308	5.0,True
A549,LY2090314,5.0,3,A549	LY2090314	5.0,True
A549,LY-2584702 (tosylate salt),5.0,3,A549	LY-2584702 (tosylate salt)	5.0,True
A549,Lapatinib ditosylate,5.0,3,A549	Lapatinib ditosylate	5.0,True
A549,Lonafarnib,5.0,3,A549	Lonafarnib	5.0,True
A549,MK-3903,5.0,3,A549	MK-3903	5.0,True
A549,MK-8353,5.0,3,A549	MK-8353	5.0,True
A549,ML264,5.0,3,A549	ML264	5.0,True
A549,Methylprednisolone succinate,5.0,3,A549	Methylprednisolone succinate	5.0,True
A549,Minodronic acid,5.0,3,A549	Minodronic acid	5.0,True
A549,NG25,5.0,3,A549	NG25	5.0,True
A549,NVP-BHG712,5.0,3,A549	NVP-BHG712	5.0,True
A549,OTS514,5.0,3,A549	OTS514	5.0,True
A549,Oleic acid,5.0,3,A549	Oleic acid	5.0,True
A549,Oxaliplatin,5.0,3,A549	Oxaliplatin	5.0,True
A549,PF-06260933,5.0,3,A549	PF-06260933	5.0,True
A549,PH-797804,5.0,3,A549	PH-797804	5.0,True
A549,Paclitaxel,5.0,3,A549	Paclitaxel	5.0,True
A549,Pemigatinib,5.0,3,A549	Pemigatinib	5.0,True
A549,Pimitespib,5.0,3,A549	Pimitespib	5.0,True
A549,Pralsetinib,5.0,3,A549	Pralsetinib	5.0,True
A549,RMC-6236,5.0,3,A549	RMC-6236	5.0,True
A549,Ralimetinib dimesylate,5.0,3,A549	Ralimetinib dimesylate	5.0,True
A549,Regorafenib,5.0,3,A549	Regorafenib	5.0,True
A549,SBI-0640756,5.0,3,A549	SBI-0640756	5.0,True
A549,Sapanisertib,5.0,4,A549	Sapanisertib	5.0,True
A549,Sonidegib,5.0,4,A549	Sonidegib	5.0,True
A549,TAK-733,5.0,4,A549	TAK-733	5.0,True
A549,TAK-901,5.0,4,A549	TAK-901	5.0,True
A549,Temuterkib,5.0,4,A549	Temuterkib	5.0,True
A549,Tomivosertib,5.0,4,A549	Tomivosertib	5.0,True
A549,Torkinib,5.0,4,A549	Torkinib	5.0,True
A549,Trametinib,5.0,4,A549	Trametinib	5.0,True
A549,Tubulin inhibitor 6,5.0,4,A549	Tubulin inhibitor 6	5.0,True
A549,Tucatinib,5.0,4,A549	Tucatinib	5.0,True
A549,ULK-101,5.0,4,A549	ULK-101	5.0,True
A549,Vemurafenib,5.0,4,A549	Vemurafenib	5.0,True
A549,Volasertib,5.0,4,A549	Volasertib	5.0,True
A549,XRK3F2,5.0,4,A549	XRK3F2	5.0,True
A549,c-Kit-IN-1,5.0,4,A549	c-Kit-IN-1	5.0,True
