arm,n_features,pearson_r_mean,spearman_rho_mean,rmse_mean,r2_mean,ef5_mean,ef1_mean,bedroc_mean,pearson_r_sd,spearman_rho_sd,rmse_sd,r2_sd,ef5_sd,ef1_sd,bedroc_sd
score_only_1HCK,1,0.27799466813536466,0.22542097225004376,2.6219097683431696,-3.466048759175699,1.5384615384615383,2.3076923076923075,31.458723662889007,,,,,,,
score_only_1AQ1,1,0.3742140450815923,0.3512062954962768,3.2306233918548912,-5.78048319209635,2.3076923076923075,2.3076923076923075,36.05822630495234,,,,,,,
score_only_2VTA,1,0.16311200397153552,0.054347006827142254,2.8456037730740613,-4.260618805589591,0.7692307692307692,0.0,13.510832269174509,,,,,,,
score_only_1FIN,1,0.35429179457403276,0.33087069163738425,2.7364108183287588,-3.86463852177178,1.5384615384615383,2.3076923076923075,28.477318873834566,,,,,,,
score_only_1KE5,1,0.16612506223178564,0.059924322120936534,2.738946421527811,-3.873658006511609,1.5384615384615383,2.3076923076923075,29.680354737045217,,,,,,,
score_only_3PXF,1,0.04190834565230675,-0.1151593787413544,2.8503352142043457,-4.278127217143375,1.5384615384615383,0.0,16.733124046500258,,,,,,,
score_only_best,1,0.28910662784144636,0.19082885082799078,3.4384896151265796,-6.681099857408048,2.3076923076923075,2.3076923076923075,35.82708069075583,,,,,,,
2d,2059,0.2989663972255555,0.2628360335155494,1.2520617989665006,-0.019361562406687384,1.846153846153846,0.923076923076923,30.44114984772001,0.04204454952484195,0.04667740838169305,0.04189080592567914,0.06718795091027187,0.4213250442347431,1.2639751327042295,5.172135452099953
score_1,1,-0.3252286975255373,-0.2994547550541219,1.504824425183429,-0.4715234795822306,0.15384615384615383,0.0,3.9078848648393274,0.054109759831924925,0.06202348711496859,0.02647840939725704,0.05159295348778248,0.3440104580768907,0.0,2.756623923328206
score_ens,9,-0.07270039457808206,-0.04886695598118233,1.5317536135186074,-0.5278211065572622,1.3846153846153846,1.846153846153846,22.813953262579894,0.09642307786516656,0.10087288223506094,0.08249997082874773,0.16286916931504963,0.3440104580768907,1.0320313742306721,6.997359448973396
ifp_1,124,0.04447287188161789,-0.021647164878761192,1.369971794830526,-0.22102218059002343,0.30769230769230765,0.4615384615384615,10.236419807039713,0.08231658765679915,0.06898762175455467,0.05753317141267495,0.10094062969916934,0.4213250442347431,1.0320313742306721,5.279220889590547
ifp_ens,372,0.1282856597236883,0.097790261269206,1.296870887205326,-0.09515209096766877,1.3846153846153846,2.3076923076923075,24.916160646847214,0.1232245756981874,0.12220346449844123,0.06937093741817271,0.1171093883746818,0.6435846357954428,0.0,5.891791568733338
ifp_ens_plus_score,381,0.09373713911951535,0.059087754364754164,1.3142385067906999,-0.12465749464261067,1.2307692307692306,2.3076923076923075,25.403154419765123,0.12072051303775783,0.10410971370690258,0.06997855630982054,0.11916395521575408,0.4213250442347431,0.0,6.785242919464104
2d_plus_ifp_ens,2440,0.25087040675976224,0.2746087957578442,1.2355739327252493,0.0067013118354875,1.5384615384615383,2.3076923076923075,29.559596557012043,0.08543822809910898,0.096030553475345,0.053643889122144024,0.08386781586551396,0.5439282932204211,0.0,7.689268268152134
2d__randomsplit,2059,0.7259991843333514,0.7232585397270469,0.8623478200152664,0.5156692388558144,2.3076923076923075,2.3076923076923075,44.16508374293015,0.031139009888345188,0.03574194669334821,0.048312420528756214,0.05275802216293093,0.0,0.0,1.571833923902165
score_1__randomsplit,1,-0.13402946466529392,-0.1167563605830499,1.3747540777131086,-0.2290348175354635,0.30769230769230765,0.0,9.61692679559501,0.08185754230922061,0.10619022069606657,0.04816027603349154,0.085179140604396,0.4213250442347431,0.0,5.530391312932158
score_ens__randomsplit,9,0.3265591913346412,0.33107603938252395,1.2336947630928397,0.00879145956431806,1.9999999999999996,1.846153846153846,32.55590787034988,0.08957482712324609,0.08868496466144857,0.06823696886752922,0.10952267114917731,0.42132504423474315,1.0320313742306721,6.652406375967792
ifp_1__randomsplit,124,0.22613006032545008,0.14190733894713328,1.3228877029655142,-0.13751063338056085,0.6153846153846153,0.923076923076923,16.961585280717895,0.04272436829579379,0.037061478262018006,0.03340847324361238,0.05690296544904397,0.3440104580768907,1.2639751327042295,3.6878479434792504
ifp_ens__randomsplit,372,0.5001554824735668,0.43745729292231006,1.0823601500774696,0.23730346344295983,1.5384615384615383,0.923076923076923,28.875472352281612,0.06386573020308912,0.08857062332902843,0.05573242228654951,0.07758552346556527,0.0,1.2639751327042295,5.994199384275957
ifp_ens_plus_score__randomsplit,381,0.5043094483523248,0.44878675415058833,1.0816113869748203,0.23866329679306036,1.2307692307692306,1.846153846153846,28.071029510454775,0.057550035970314446,0.07479109881905012,0.050150362485331154,0.06996830033473776,0.6880209161537814,1.0320313742306721,10.26806415115164
2d_plus_ifp_ens__randomsplit,2440,0.6278456500341651,0.6075381890357407,0.9661398983322584,0.39200847047198534,1.846153846153846,2.3076923076923075,37.596402361833825,0.055235205809180794,0.06382536602418247,0.05512285182994629,0.0695991672249665,0.4213250442347431,0.0,5.217003507616141
